mode,position_mode,checkpoint,evaluation,T,n,token_correct,string_correct,token_acc,string_acc,digit_errors
local-control,local-control,best,standard,1,256,2558,254,0.99921875,0.9921875,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
local-control,local-control,best,standard,2,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
local-control,local-control,best,standard,3,256,2552,248,0.996875,0.96875,"[0, 1, 0, 0, 1, 6, 0, 0, 0, 0]"
local-control,local-control,best,standard,4,256,2553,249,0.997265625,0.97265625,"[0, 3, 0, 1, 2, 1, 0, 0, 0, 0]"
local-control,local-control,best,standard,5,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 2, 1, 0, 0, 0, 0]"
local-control,local-control,best,standard,6,256,2531,227,0.988671875,0.88671875,"[0, 0, 1, 0, 2, 9, 17, 0, 0, 0]"
local-control,local-control,best,standard,7,256,2550,246,0.99609375,0.9609375,"[0, 0, 0, 0, 0, 10, 0, 0, 0, 0]"
local-control,local-control,best,standard,8,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 1, 2, 0, 0, 0, 0]"
local-control,local-control,best,standard,9,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
local-control,local-control,best,standard,10,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 2, 1, 0, 0, 0, 0]"
local-control,local-control,best,standard,11,256,2550,246,0.99609375,0.9609375,"[0, 0, 0, 0, 1, 9, 0, 0, 0, 0]"
local-control,local-control,best,standard,12,256,2553,249,0.997265625,0.97265625,"[0, 0, 0, 0, 3, 4, 0, 0, 0, 0]"
local-control,local-control,best,standard,13,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
local-control,local-control,best,standard,14,256,2554,250,0.99765625,0.9765625,"[0, 0, 0, 0, 0, 6, 0, 0, 0, 0]"
local-control,local-control,best,standard,16,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 1, 2, 0, 0, 0, 0]"
local-control,local-control,best,standard,24,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
local-control,local-control,best,standard,32,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 1, 2, 0, 0, 0, 0]"
local-control,local-control,best,standard,48,256,2556,252,0.9984375,0.984375,"[0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
local-control,local-control,best,standard,64,256,2555,252,0.998046875,0.984375,"[0, 2, 0, 0, 0, 1, 0, 0, 1, 1]"
local-control,local-control,best,standard,96,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
local-control,local-control,best,standard,128,256,2557,253,0.998828125,0.98828125,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 0]"
local-control,local-control,best,standard,192,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
local-control,local-control,best,standard,256,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 2, 1, 0, 0, 0, 0]"
local-control,local-control,best,standard,384,256,2557,253,0.998828125,0.98828125,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0]"
local-control,local-control,best,standard,512,256,2558,254,0.99921875,0.9921875,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
local-control,local-control,best,standard,768,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
local-control,local-control,best,standard,1024,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
local-control,local-control,best,standard,1536,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
local-control,local-control,best,standard,2048,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 1, 2, 0, 0, 0, 0]"
local-control,local-control,best,standard,3072,256,2557,253,0.998828125,0.98828125,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0]"
local-control,local-control,best,standard,4096,256,2555,251,0.998046875,0.98046875,"[0, 0, 0, 0, 1, 4, 0, 0, 0, 0]"
local-control,local-control,best,standard,6144,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
local-control,local-control,best,standard,8192,256,2556,252,0.9984375,0.984375,"[0, 1, 0, 0, 3, 0, 0, 0, 0, 0]"
local-control,local-control,best,standard,12288,256,2558,254,0.99921875,0.9921875,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
local-control,local-control,best,standard,16384,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
local-control,local-control,best,standard,24576,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
local-control,local-control,best,standard,32768,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
local-control,local-control,best,standard,49152,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
local-control,local-control,best,standard,65536,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 2, 1, 0, 0, 0, 0]"
local-control,local-control,best,standard,98304,256,2558,254,0.99921875,0.9921875,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
local-control,local-control,best,standard,131072,256,2556,252,0.9984375,0.984375,"[0, 0, 0, 0, 3, 1, 0, 0, 0, 0]"
local-control,local-control,best,paired,3,32,319,31,0.996875,0.96875,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
local-control,local-control,best,paired,16,32,319,31,0.996875,0.96875,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
local-control,local-control,best,paired,8192,32,320,32,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
local-control,local-control,best,paired,16383,32,318,30,0.99375,0.9375,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
local-control,local-control,best,paired,16384,32,320,32,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
local-control,local-control,best,paired,16385,32,317,29,0.990625,0.90625,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
local-control,local-control,best,paired,32767,32,318,30,0.99375,0.9375,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
local-control,local-control,best,paired,32768,32,320,32,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
local-control,local-control,best,paired,32769,32,317,29,0.990625,0.90625,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
local-control,local-control,best,paired,49144,32,319,31,0.996875,0.96875,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
local-control,local-control,best,paired,49145,32,311,23,0.971875,0.71875,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9]"
local-control,local-control,best,paired,49146,32,294,6,0.91875,0.1875,"[0, 0, 0, 0, 0, 0, 0, 0, 25, 1]"
