Using checkpoint: model_best
Loading weights:   0%|          | 0/27 [00:00<?, ?it/s]Loading weights: 100%|██████████| 27/27 [00:00<00:00, 10246.67it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-aligned-selective-20260913/exp/selective-copying/local-control-fixed10-20260913/model_best on 33 horizons (T=1..8192), 256 samples each, device=cuda:0
T=      1 | token 1.0000 | string 1.0000 | 0.6s <= train horizon
T=      2 | token 0.9984 | string 0.9844 | 0.0s <= train horizon
T=      3 | token 0.9816 | string 0.8438 | 0.0s <= train horizon
T=      4 | token 0.9465 | string 0.6250 | 0.0s <= train horizon
T=      5 | token 0.9348 | string 0.5156 | 0.0s <= train horizon
T=      6 | token 0.9160 | string 0.4219 | 0.0s <= train horizon
T=      7 | token 0.9098 | string 0.4180 | 0.0s <= train horizon
T=      8 | token 0.9309 | string 0.5156 | 0.0s <= train horizon
T=      9 | token 0.9488 | string 0.6133 | 0.0s <= train horizon
T=     10 | token 0.9605 | string 0.6992 | 0.0s <= train horizon
T=     11 | token 0.9324 | string 0.4922 | 0.0s <= train horizon
T=     12 | token 0.9266 | string 0.4688 | 0.0s <= train horizon
T=     13 | token 0.9266 | string 0.4805 | 0.0s <= train horizon
T=     14 | token 0.9512 | string 0.6328 | 0.0s <= train horizon
T=     16 | token 0.9129 | string 0.4180 | 0.0s <= train horizon
T=     24 | token 0.8984 | string 0.3750 | 0.0s <= train horizon
T=     32 | token 0.8777 | string 0.2930 | 0.0s <= train horizon
T=     48 | token 0.7500 | string 0.0234 | 0.0s <= train horizon
T=     64 | token 0.7605 | string 0.0664 | 0.1s <= train horizon
T=     96 | token 0.7699 | string 0.0742 | 0.1s <= train horizon
T=    128 | token 0.7609 | string 0.0820 | 0.1s <= train horizon
T=    192 | token 0.7500 | string 0.0625 | 0.2s <= train horizon
T=    256 | token 0.6609 | string 0.0117 | 0.3s <= train horizon
T=    384 | token 0.7332 | string 0.0586 | 0.4s <= train horizon
T=    512 | token 0.6559 | string 0.0234 | 0.5s <= train horizon
T=    768 | token 0.6430 | string 0.0039 | 0.7s <= train horizon
T=   1024 | token 0.5906 | string 0.0039 | 1.1s <= train horizon
T=   1536 | token 0.6297 | string 0.0039 | 1.6s <= train horizon
T=   2048 | token 0.5699 | string 0.0039 | 2.2s
T=   3072 | token 0.5641 | string 0.0000 | 3.3s
T=   4096 | token 0.4762 | string 0.0000 | 5.2s
T=   6144 | token 0.5242 | string 0.0000 | 8.0s
T=   8192 | token 0.4629 | string 0.0000 | 10.4s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-aligned-selective-20260913/exp/selective-copying/local-control-fixed10-20260913/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-aligned-selective-20260913/exp/selective-copying/local-control-fixed10-20260913/plot.png
