Using checkpoint: model
Loading weights:   0%|          | 0/27 [00:00<?, ?it/s]Loading weights: 100%|██████████| 27/27 [00:00<00:00, 6246.69it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-aligned-selective-20260913/exp/selective-copying/local-control-fixed10-20260913/model on 33 horizons (T=1..8192), 256 samples each, device=cuda:0
T=      1 | token 0.9996 | string 0.9961 | 0.6s <= train horizon
T=      2 | token 0.9988 | string 0.9883 | 0.0s <= train horizon
T=      3 | token 0.9887 | string 0.9062 | 0.0s <= train horizon
T=      4 | token 0.9723 | string 0.8008 | 0.0s <= train horizon
T=      5 | token 0.9602 | string 0.7383 | 0.0s <= train horizon
T=      6 | token 0.9055 | string 0.3945 | 0.0s <= train horizon
T=      7 | token 0.9148 | string 0.4805 | 0.0s <= train horizon
T=      8 | token 0.9344 | string 0.5664 | 0.0s <= train horizon
T=      9 | token 0.9531 | string 0.6406 | 0.0s <= train horizon
T=     10 | token 0.9691 | string 0.7773 | 0.0s <= train horizon
T=     11 | token 0.9273 | string 0.4531 | 0.0s <= train horizon
T=     12 | token 0.9336 | string 0.5586 | 0.0s <= train horizon
T=     13 | token 0.9375 | string 0.5781 | 0.0s <= train horizon
T=     14 | token 0.9309 | string 0.5234 | 0.0s <= train horizon
T=     16 | token 0.9047 | string 0.3867 | 0.0s <= train horizon
T=     24 | token 0.9113 | string 0.4492 | 0.0s <= train horizon
T=     32 | token 0.8680 | string 0.2500 | 0.0s <= train horizon
T=     48 | token 0.7918 | string 0.0938 | 0.0s <= train horizon
T=     64 | token 0.8000 | string 0.1094 | 0.1s <= train horizon
T=     96 | token 0.7910 | string 0.0898 | 0.1s <= train horizon
T=    128 | token 0.7738 | string 0.0547 | 0.1s <= train horizon
T=    192 | token 0.7461 | string 0.0664 | 0.2s <= train horizon
T=    256 | token 0.6832 | string 0.0039 | 0.3s <= train horizon
T=    384 | token 0.7270 | string 0.0352 | 0.4s <= train horizon
T=    512 | token 0.6699 | string 0.0117 | 0.5s <= train horizon
T=    768 | token 0.6648 | string 0.0039 | 0.7s <= train horizon
T=   1024 | token 0.6477 | string 0.0000 | 1.1s <= train horizon
T=   1536 | token 0.6371 | string 0.0000 | 1.7s <= train horizon
T=   2048 | token 0.6199 | string 0.0078 | 2.2s
T=   3072 | token 0.6059 | string 0.0039 | 3.3s
T=   4096 | token 0.5664 | string 0.0000 | 5.2s
T=   6144 | token 0.5719 | string 0.0000 | 8.0s
T=   8192 | token 0.5363 | string 0.0000 | 10.4s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-aligned-selective-20260913/exp/selective-copying/local-control-fixed10-20260913/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-aligned-selective-20260913/exp/selective-copying/local-control-fixed10-20260913/plot.png
