mode,position_mode,checkpoint,evaluation,T,n,token_correct,string_correct,token_acc,string_acc,digit_errors
local-control,local-control,best,standard,1,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
local-control,local-control,best,standard,2,256,2556,252,0.9984375,0.984375,"[0, 0, 0, 0, 3, 0, 0, 0, 1, 0]"
local-control,local-control,best,standard,3,256,2513,216,0.981640625,0.84375,"[0, 0, 1, 3, 5, 11, 22, 3, 1, 1]"
local-control,local-control,best,standard,4,256,2423,160,0.946484375,0.625,"[0, 0, 9, 18, 38, 55, 14, 3, 0, 0]"
local-control,local-control,best,standard,5,256,2393,132,0.934765625,0.515625,"[0, 0, 6, 41, 72, 18, 12, 2, 16, 0]"
local-control,local-control,best,standard,6,256,2345,108,0.916015625,0.421875,"[1, 3, 16, 59, 21, 33, 41, 32, 8, 1]"
local-control,local-control,best,standard,7,256,2329,107,0.909765625,0.41796875,"[1, 5, 14, 28, 37, 66, 59, 19, 1, 1]"
local-control,local-control,best,standard,8,256,2383,132,0.930859375,0.515625,"[0, 5, 9, 25, 28, 70, 26, 13, 1, 0]"
local-control,local-control,best,standard,9,256,2429,157,0.948828125,0.61328125,"[0, 2, 3, 16, 42, 38, 24, 4, 2, 0]"
local-control,local-control,best,standard,10,256,2459,179,0.960546875,0.69921875,"[0, 1, 8, 29, 25, 24, 9, 2, 2, 1]"
local-control,local-control,best,standard,11,256,2387,126,0.932421875,0.4921875,"[0, 1, 7, 12, 30, 37, 55, 26, 5, 0]"
local-control,local-control,best,standard,12,256,2372,120,0.9265625,0.46875,"[0, 0, 3, 22, 35, 56, 58, 13, 1, 0]"
local-control,local-control,best,standard,13,256,2372,123,0.9265625,0.48046875,"[0, 1, 7, 12, 43, 53, 30, 6, 3, 33]"
local-control,local-control,best,standard,14,256,2435,162,0.951171875,0.6328125,"[0, 1, 7, 16, 25, 34, 18, 7, 17, 0]"
