mode,task,position_mode,num_layers,conv_kernel_size,checkpoint,evaluation,T,n,token_correct,string_correct,token_acc,string_acc,digit_errors
copying,copying,none,2,4,best,standard,1,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,2,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,3,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,4,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,5,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,6,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,7,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,8,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,9,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,10,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,11,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,12,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,13,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,14,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,16,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,24,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,32,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,48,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,64,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,96,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,128,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,best,standard,192,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
