precision,layer,head,depth,identity_distance_fro_normalized,orthogonality_max_abs,first_child_cosine_before_after_U0
bf16,0,0,2,1.3943233030644513,4.440892098500626e-16,0.16642471126144814
bf16,0,0,3,1.3943233030644513,4.440892098500626e-16,0.5438252910063813
bf16,0,0,4,1.3943233030644513,4.440892098500626e-16,0.8356583320762307
bf16,0,0,5,1.3943233030644513,4.440892098500626e-16,0.9007277416262962
bf16,0,0,6,1.3943233030644513,4.440892098500626e-16,0.9256063502787886
bf16,0,0,7,1.3943233030644513,4.440892098500626e-16,0.9376902980456088
bf16,0,0,8,1.3943233030644513,4.440892098500626e-16,0.94119161208276
bf16,0,1,2,1.4040705592580773,4.440892098500626e-16,0.1269777839762615
bf16,0,1,3,1.4040705592580773,4.440892098500626e-16,0.09861403858621313
bf16,0,1,4,1.4040705592580773,4.440892098500626e-16,0.2388107048293139
bf16,0,1,5,1.4040705592580773,4.440892098500626e-16,0.46987219915975637
bf16,0,1,6,1.4040705592580773,4.440892098500626e-16,0.621218296676558
bf16,0,1,7,1.4040705592580773,4.440892098500626e-16,0.7320487165591463
bf16,0,1,8,1.4040705592580773,4.440892098500626e-16,0.8087493202923868
bf16,0,2,2,1.41462154046999,4.440892098500626e-16,-0.07654045607705641
bf16,0,2,3,1.41462154046999,4.440892098500626e-16,-0.12841794936923184
bf16,0,2,4,1.41462154046999,4.440892098500626e-16,-0.115162851664558
bf16,0,2,5,1.41462154046999,4.440892098500626e-16,0.026445592400410917
bf16,0,2,6,1.41462154046999,4.440892098500626e-16,-0.10664151790924498
bf16,0,2,7,1.41462154046999,4.440892098500626e-16,-0.06578594958654227
bf16,0,2,8,1.41462154046999,4.440892098500626e-16,0.03077307441297117
bf16,0,3,2,1.411494785275624,5.551115123125783e-16,-0.04549636420892275
bf16,0,3,3,1.411494785275624,5.551115123125783e-16,0.23457210116111968
bf16,0,3,4,1.411494785275624,5.551115123125783e-16,0.4914416943395143
bf16,0,3,5,1.411494785275624,5.551115123125783e-16,0.5201301716964949
bf16,0,3,6,1.411494785275624,5.551115123125783e-16,0.7655205724551403
bf16,0,3,7,1.411494785275624,5.551115123125783e-16,0.8410249367551244
bf16,0,3,8,1.411494785275624,5.551115123125783e-16,0.9166282961603678
bf16,0,4,2,1.409865796697435,4.440892098500626e-16,0.0018631423561056171
bf16,0,4,3,1.409865796697435,4.440892098500626e-16,0.3708958091208695
bf16,0,4,4,1.409865796697435,4.440892098500626e-16,0.8710281039293511
bf16,0,4,5,1.409865796697435,4.440892098500626e-16,0.9427286425946372
bf16,0,4,6,1.409865796697435,4.440892098500626e-16,0.9788788134961484
bf16,0,4,7,1.409865796697435,4.440892098500626e-16,0.9705519594964149
bf16,0,4,8,1.409865796697435,4.440892098500626e-16,0.9768938675416434
bf16,0,5,2,1.4113808036301223,6.661338147750939e-16,0.030306313928134918
bf16,0,5,3,1.4113808036301223,6.661338147750939e-16,0.07285412188443023
bf16,0,5,4,1.4113808036301223,6.661338147750939e-16,0.32880643323745895
bf16,0,5,5,1.4113808036301223,6.661338147750939e-16,0.612389100191474
bf16,0,5,6,1.4113808036301223,6.661338147750939e-16,0.8803402571928672
bf16,0,5,7,1.4113808036301223,6.661338147750939e-16,0.9470625773707849
bf16,0,5,8,1.4113808036301223,6.661338147750939e-16,0.9808330676368631
bf16,0,6,2,1.3820143423422329,6.661338147750939e-16,0.03027448457908636
bf16,0,6,3,1.3820143423422329,6.661338147750939e-16,0.3409100747892596
bf16,0,6,4,1.3820143423422329,6.661338147750939e-16,0.4558067762809417
bf16,0,6,5,1.3820143423422329,6.661338147750939e-16,0.5332385540523807
bf16,0,6,6,1.3820143423422329,6.661338147750939e-16,0.8342983445071752
bf16,0,6,7,1.3820143423422329,6.661338147750939e-16,0.8764375364873954
bf16,0,6,8,1.3820143423422329,6.661338147750939e-16,0.8766309735158295
bf16,0,7,2,1.4078562443063374,6.661338147750939e-16,0.28564128642178993
bf16,0,7,3,1.4078562443063374,6.661338147750939e-16,0.3252457385272908
bf16,0,7,4,1.4078562443063374,6.661338147750939e-16,0.7577966283129538
bf16,0,7,5,1.4078562443063374,6.661338147750939e-16,0.9377530446654619
bf16,0,7,6,1.4078562443063374,6.661338147750939e-16,0.9467544301340556
bf16,0,7,7,1.4078562443063374,6.661338147750939e-16,0.9383494681351479
bf16,0,7,8,1.4078562443063374,6.661338147750939e-16,0.9421132458146559
bf16,1,0,2,1.3909968734454077,5.551115123125783e-16,0.5027369293911609
bf16,1,0,3,1.3909968734454077,5.551115123125783e-16,0.5027696449264888
bf16,1,0,4,1.3909968734454077,5.551115123125783e-16,0.5028170763230345
bf16,1,0,5,1.3909968734454077,5.551115123125783e-16,0.5029178841502009
bf16,1,0,6,1.3909968734454077,5.551115123125783e-16,0.5029634303811886
bf16,1,0,7,1.3909968734454077,5.551115123125783e-16,0.5029617228640714
bf16,1,0,8,1.3909968734454077,5.551115123125783e-16,0.5028562359904356
bf16,1,1,2,1.402836616799134,6.661338147750939e-16,0.3887030536670867
bf16,1,1,3,1.402836616799134,6.661338147750939e-16,0.388535657651539
bf16,1,1,4,1.402836616799134,6.661338147750939e-16,0.38847717293722045
bf16,1,1,5,1.402836616799134,6.661338147750939e-16,0.38853189391097687
bf16,1,1,6,1.402836616799134,6.661338147750939e-16,0.38855715045076566
bf16,1,1,7,1.402836616799134,6.661338147750939e-16,0.38859795565696975
bf16,1,1,8,1.402836616799134,6.661338147750939e-16,0.38858669063884116
bf16,1,2,2,1.410592297224393,4.440892098500626e-16,-0.029689533015391574
bf16,1,2,3,1.410592297224393,4.440892098500626e-16,0.32662671964397405
bf16,1,2,4,1.410592297224393,4.440892098500626e-16,0.3265366152555209
bf16,1,2,5,1.410592297224393,4.440892098500626e-16,0.32657646409323005
bf16,1,2,6,1.410592297224393,4.440892098500626e-16,0.3265524469841913
bf16,1,2,7,1.410592297224393,4.440892098500626e-16,0.3266336363882554
bf16,1,2,8,1.410592297224393,4.440892098500626e-16,0.3266831716262937
bf16,1,3,2,1.4108463139125278,4.440892098500626e-16,0.11282240844205951
bf16,1,3,3,1.4108463139125278,4.440892098500626e-16,0.47180807226574467
bf16,1,3,4,1.4108463139125278,4.440892098500626e-16,0.47239154875206174
bf16,1,3,5,1.4108463139125278,4.440892098500626e-16,0.4800199691653807
bf16,1,3,6,1.4108463139125278,4.440892098500626e-16,0.5656410493655923
bf16,1,3,7,1.4108463139125278,4.440892098500626e-16,0.6448801176993553
bf16,1,3,8,1.4108463139125278,4.440892098500626e-16,0.9213175119702494
bf16,1,4,2,1.4042226808170382,4.440892098500626e-16,0.037958176504751515
bf16,1,4,3,1.4042226808170382,4.440892098500626e-16,0.7122124042609874
bf16,1,4,4,1.4042226808170382,4.440892098500626e-16,0.7122829429215193
bf16,1,4,5,1.4042226808170382,4.440892098500626e-16,0.7123197193571742
bf16,1,4,6,1.4042226808170382,4.440892098500626e-16,0.7124003341729485
bf16,1,4,7,1.4042226808170382,4.440892098500626e-16,0.7123888999645639
bf16,1,4,8,1.4042226808170382,4.440892098500626e-16,0.7123094883234372
bf16,1,5,2,1.4121645014370048,4.440892098500626e-16,0.2671903440048938
bf16,1,5,3,1.4121645014370048,4.440892098500626e-16,0.2736818470331557
bf16,1,5,4,1.4121645014370048,4.440892098500626e-16,0.29881573067122263
bf16,1,5,5,1.4121645014370048,4.440892098500626e-16,0.44678321623279627
bf16,1,5,6,1.4121645014370048,4.440892098500626e-16,0.7903943766521683
bf16,1,5,7,1.4121645014370048,4.440892098500626e-16,0.8465219667293336
bf16,1,5,8,1.4121645014370048,4.440892098500626e-16,0.9246920296311765
