mode,precision,depth,N,T,token_correct,string_correct,n,correct_logit_margin_mean,correct_logit_margin_min,token_acc,string_acc
phase2,bf16,2,16,7,160,16,16,19.651168823242188,15.703125,1.0,1.0
phase2,bf16,3,64,55,160,16,16,19.627811431884766,15.578125,1.0,1.0
phase2,bf16,4,256,247,160,16,16,19.586078643798828,15.525390625,1.0,1.0
phase2,bf16,5,1024,1015,160,16,16,19.508604049682617,13.90625,1.0,1.0
phase2,bf16,6,4096,4087,160,16,16,19.348806381225586,12.78125,1.0,1.0
phase2,bf16,7,16384,16375,160,16,16,19.149526596069336,12.3671875,1.0,1.0
phase2,bf16,8,65536,65527,160,16,16,18.939210891723633,12.2734375,1.0,1.0
phase2,fp32,2,16,7,160,16,16,19.658987045288086,15.645289421081543,1.0,1.0
phase2,fp32,3,64,55,160,16,16,19.631366729736328,15.616225242614746,1.0,1.0
phase2,fp32,4,256,247,160,16,16,19.591093063354492,15.48000717163086,1.0,1.0
phase2,fp32,5,1024,1015,160,16,16,19.513025283813477,13.8252534866333,1.0,1.0
phase2,fp32,6,4096,4087,160,16,16,19.352508544921875,12.816493034362793,1.0,1.0
phase2,fp32,7,16384,16375,160,16,16,19.15229606628418,12.407522201538086,1.0,1.0
phase2,fp32,8,65536,65527,160,16,16,18.933490753173828,12.258578300476074,1.0,1.0
combined-no-decay,bf16,2,16,7,160,16,16,15.626080513000488,12.21875,1.0,1.0
combined-no-decay,bf16,3,64,55,160,16,16,15.057377815246582,10.625,1.0,1.0
combined-no-decay,bf16,4,256,247,160,16,16,14.038065910339355,9.09375,1.0,1.0
combined-no-decay,bf16,5,1024,1015,160,16,16,12.140276908874512,5.71875,1.0,1.0
combined-no-decay,bf16,6,4096,4087,107,0,16,1.6079193353652954,-22.0,0.66875,0.0
combined-no-decay,bf16,7,16384,16375,66,0,16,-3.6304993629455566,-24.5,0.4125,0.0
combined-no-decay,bf16,8,65536,65527,44,0,16,-5.734294414520264,-29.5,0.275,0.0
combined-no-decay,fp32,2,16,7,160,16,16,15.630472183227539,12.233795166015625,1.0,1.0
combined-no-decay,fp32,3,64,55,160,16,16,15.062952041625977,10.626358032226562,1.0,1.0
combined-no-decay,fp32,4,256,247,160,16,16,14.056985855102539,9.157979011535645,1.0,1.0
combined-no-decay,fp32,5,1024,1015,160,16,16,12.141999244689941,5.745121002197266,1.0,1.0
combined-no-decay,fp32,6,4096,4087,107,0,16,1.6090744733810425,-21.97793197631836,0.66875,0.0
combined-no-decay,fp32,7,16384,16375,69,0,16,-2.9390573501586914,-22.863304138183594,0.43125,0.0
combined-no-decay,fp32,8,65536,65527,48,0,16,-4.841482639312744,-29.520606994628906,0.3,0.0
