T,token_correct,string_correct,n,digit_1_correct,digit_2_correct,digit_3_correct,digit_4_correct,digit_5_correct,digit_6_correct,digit_7_correct,digit_8_correct,digit_9_correct,digit_10_correct
4064,2560,256,256,256,256,256,256,256,256,256,256,256,256
4065,2560,256,256,256,256,256,256,256,256,256,256,256,256
4066,2560,256,256,256,256,256,256,256,256,256,256,256,256
4067,2560,256,256,256,256,256,256,256,256,256,256,256,256
4068,2560,256,256,256,256,256,256,256,256,256,256,256,256
4069,2560,256,256,256,256,256,256,256,256,256,256,256,256
4070,2560,256,256,256,256,256,256,256,256,256,256,256,256
4071,2560,256,256,256,256,256,256,256,256,256,256,256,256
4072,2560,256,256,256,256,256,256,256,256,256,256,256,256
4073,2560,256,256,256,256,256,256,256,256,256,256,256,256
4074,2560,256,256,256,256,256,256,256,256,256,256,256,256
4075,2560,256,256,256,256,256,256,256,256,256,256,256,256
4076,2560,256,256,256,256,256,256,256,256,256,256,256,256
4077,2492,188,256,256,256,256,256,256,256,256,256,256,188
4078,2138,11,256,256,256,256,256,256,256,256,256,33,57
4079,2200,29,256,256,256,256,256,256,256,256,64,159,185
4080,1657,0,256,256,256,256,256,256,256,26,27,41,27
4081,1564,0,256,256,256,256,256,256,80,41,82,52,29
4082,1523,0,256,256,256,256,256,102,96,69,45,132,55
4083,1655,0,256,256,256,256,185,153,95,66,52,148,188
4084,1747,2,256,256,256,207,212,202,100,73,62,155,224
4085,1370,0,256,256,26,85,167,207,100,71,78,161,219
4086,1127,0,256,0,44,115,195,159,104,68,77,162,203
4087,1599,1,256,200,162,218,210,213,104,71,59,147,215
4088,1618,2,256,201,167,212,217,215,97,71,60,154,224
4089,1600,2,256,201,172,213,204,230,98,69,60,145,208
4090,1627,2,256,203,174,216,205,225,96,66,61,158,223
4091,1600,2,256,202,167,216,206,213,104,71,59,147,215
4092,1613,2,256,201,167,210,217,213,96,72,59,154,224
4093,1590,1,256,201,167,213,204,230,98,69,60,146,202
4094,1626,2,256,203,174,216,205,225,96,66,61,152,228
4095,1619,2,256,202,167,215,206,213,104,71,64,166,211
4096,1610,1,256,201,168,210,216,212,97,70,57,156,223
4097,1620,2,256,202,166,213,204,230,101,73,62,151,218
4098,1633,4,256,204,174,216,205,225,96,68,60,159,226
4099,1598,2,256,201,168,215,203,218,102,68,61,147,215
4100,1621,3,256,202,168,208,205,228,103,70,61,152,224
4101,1618,2,256,201,174,214,202,230,101,69,62,151,214
4102,1619,3,256,196,169,222,203,225,97,65,61,155,226
4103,1605,2,256,204,168,219,209,212,103,71,59,145,215
4104,1623,2,256,200,168,212,210,219,102,71,63,154,224
4105,1605,2,256,200,173,212,204,230,98,69,64,145,210
4106,1624,3,256,203,168,217,204,226,98,67,60,157,224
4107,1597,2,256,203,168,217,206,212,103,69,59,145,215
4108,1628,3,256,200,169,212,211,218,105,71,63,155,224
4109,1594,2,256,200,171,212,204,230,98,69,63,145,202
4110,1624,3,256,204,168,217,204,225,98,68,60,152,228
4111,1621,2,256,203,168,218,206,212,103,71,64,165,211
4112,1620,1,256,200,168,213,212,217,104,74,57,153,222
