task,mode,checkpoint,T,token_acc,string_acc,n
copying,phase2 (historical),best,1,1.0,1.0,256
copying,phase2 (historical),best,2,1.0,1.0,256
copying,phase2 (historical),best,3,1.0,1.0,256
copying,phase2 (historical),best,4,1.0,1.0,256
copying,phase2 (historical),best,5,1.0,1.0,256
copying,phase2 (historical),best,6,1.0,1.0,256
copying,phase2 (historical),best,7,1.0,1.0,256
copying,phase2 (historical),best,8,1.0,1.0,256
copying,phase2 (historical),best,9,1.0,1.0,256
copying,phase2 (historical),best,10,1.0,1.0,256
copying,phase2 (historical),best,11,1.0,1.0,256
copying,phase2 (historical),best,12,1.0,1.0,256
copying,phase2 (historical),best,13,1.0,1.0,256
copying,phase2 (historical),best,14,1.0,1.0,256
copying,phase2 (historical),best,16,1.0,1.0,256
copying,phase2 (historical),best,24,1.0,1.0,256
copying,phase2 (historical),best,32,1.0,1.0,256
copying,phase2 (historical),best,48,1.0,1.0,256
copying,phase2 (historical),best,64,1.0,1.0,256
copying,phase2 (historical),best,96,1.0,1.0,256
copying,phase2 (historical),best,128,1.0,1.0,256
copying,phase2 (historical),best,192,1.0,1.0,256
copying,phase2 (historical),best,256,1.0,1.0,256
copying,phase2 (historical),best,384,1.0,1.0,256
copying,phase2 (historical),best,512,1.0,1.0,256
copying,phase2 (historical),best,768,1.0,1.0,256
copying,phase2 (historical),best,1024,1.0,1.0,256
copying,phase2 (historical),best,1536,1.0,1.0,256
copying,phase2 (historical),best,2048,1.0,1.0,256
copying,phase2 (historical),best,3072,1.0,1.0,256
copying,phase2 (historical),best,4096,1.0,1.0,256
copying,phase2 (historical),best,6144,1.0,1.0,256
copying,phase2 (historical),best,8192,1.0,1.0,256
copying,phase2 (historical),best,12288,1.0,1.0,256
copying,phase2 (historical),best,16384,1.0,1.0,256
copying,phase2 (historical),best,24576,1.0,1.0,256
copying,phase2 (historical),best,32768,1.0,1.0,256
copying,phase2 (historical),best,49152,1.0,1.0,256
copying,phase2 (historical),best,65536,1.0,1.0,256
copying,phase2 (historical),best,98304,1.0,1.0,256
copying,phase2 (historical),best,131072,1.0,1.0,256
copying,phase2 (historical),final,1,1.0,1.0,256
copying,phase2 (historical),final,2,1.0,1.0,256
copying,phase2 (historical),final,3,1.0,1.0,256
copying,phase2 (historical),final,4,1.0,1.0,256
copying,phase2 (historical),final,5,1.0,1.0,256
copying,phase2 (historical),final,6,1.0,1.0,256
copying,phase2 (historical),final,7,1.0,1.0,256
copying,phase2 (historical),final,8,1.0,1.0,256
copying,phase2 (historical),final,9,1.0,1.0,256
copying,phase2 (historical),final,10,1.0,1.0,256
copying,phase2 (historical),final,11,1.0,1.0,256
copying,phase2 (historical),final,12,1.0,1.0,256
copying,phase2 (historical),final,13,1.0,1.0,256
copying,phase2 (historical),final,14,1.0,1.0,256
copying,phase2 (historical),final,16,1.0,1.0,256
copying,phase2 (historical),final,24,1.0,1.0,256
copying,phase2 (historical),final,32,1.0,1.0,256
copying,phase2 (historical),final,48,1.0,1.0,256
copying,phase2 (historical),final,64,1.0,1.0,256
copying,phase2 (historical),final,96,1.0,1.0,256
copying,phase2 (historical),final,128,1.0,1.0,256
copying,phase2 (historical),final,192,1.0,1.0,256
copying,phase2 (historical),final,256,1.0,1.0,256
copying,phase2 (historical),final,384,1.0,1.0,256
copying,phase2 (historical),final,512,1.0,1.0,256
copying,phase2 (historical),final,768,1.0,1.0,256
copying,phase2 (historical),final,1024,1.0,1.0,256
copying,phase2 (historical),final,1536,1.0,1.0,256
copying,phase2 (historical),final,2048,1.0,1.0,256
copying,phase2 (historical),final,3072,1.0,1.0,256
copying,phase2 (historical),final,4096,1.0,1.0,256
copying,phase2 (historical),final,6144,1.0,1.0,256
copying,phase2 (historical),final,8192,1.0,1.0,256
copying,phase2 (historical),final,12288,1.0,1.0,256
copying,phase2 (historical),final,16384,1.0,1.0,256
copying,phase2 (historical),final,24576,1.0,1.0,256
copying,phase2 (historical),final,32768,1.0,1.0,256
copying,phase2 (historical),final,49152,1.0,1.0,256
copying,phase2 (historical),final,65536,1.0,1.0,256
copying,phase2 (historical),final,98304,1.0,1.0,256
copying,phase2 (historical),final,131072,1.0,1.0,256
copying,combined-no-decay,best,1,1.0,1.0,256
copying,combined-no-decay,best,2,1.0,1.0,256
copying,combined-no-decay,best,3,1.0,1.0,256
copying,combined-no-decay,best,4,1.0,1.0,256
copying,combined-no-decay,best,5,1.0,1.0,256
copying,combined-no-decay,best,6,1.0,1.0,256
copying,combined-no-decay,best,7,1.0,1.0,256
copying,combined-no-decay,best,8,1.0,1.0,256
copying,combined-no-decay,best,9,1.0,1.0,256
copying,combined-no-decay,best,10,1.0,1.0,256
copying,combined-no-decay,best,11,1.0,1.0,256
copying,combined-no-decay,best,12,1.0,1.0,256
copying,combined-no-decay,best,13,1.0,1.0,256
copying,combined-no-decay,best,14,1.0,1.0,256
copying,combined-no-decay,best,16,1.0,1.0,256
copying,combined-no-decay,best,24,1.0,1.0,256
copying,combined-no-decay,best,32,1.0,1.0,256
copying,combined-no-decay,best,48,1.0,1.0,256
copying,combined-no-decay,best,64,1.0,1.0,256
copying,combined-no-decay,best,96,1.0,1.0,256
copying,combined-no-decay,best,128,1.0,1.0,256
copying,combined-no-decay,best,192,1.0,1.0,256
copying,combined-no-decay,best,256,1.0,1.0,256
copying,combined-no-decay,best,384,1.0,1.0,256
copying,combined-no-decay,best,512,1.0,1.0,256
copying,combined-no-decay,best,768,1.0,1.0,256
copying,combined-no-decay,best,1024,1.0,1.0,256
copying,combined-no-decay,best,1536,1.0,1.0,256
copying,combined-no-decay,best,2048,1.0,1.0,256
copying,combined-no-decay,best,3072,1.0,1.0,256
copying,combined-no-decay,best,4096,0.627734375,0.00390625,256
copying,combined-no-decay,best,6144,0.630859375,0.0078125,256
copying,combined-no-decay,best,8192,0.637890625,0.0,256
copying,combined-no-decay,best,12288,0.63828125,0.0,256
copying,combined-no-decay,best,16384,0.38671875,0.0,256
copying,combined-no-decay,best,24576,0.4140625,0.0,256
copying,combined-no-decay,best,32768,0.40546875,0.0,256
copying,combined-no-decay,best,49152,0.416015625,0.0,256
copying,combined-no-decay,best,65536,0.332421875,0.0,256
copying,combined-no-decay,best,98304,0.32265625,0.0,256
copying,combined-no-decay,best,131072,0.334375,0.0,256
copying,combined-no-decay,final,1,1.0,1.0,256
copying,combined-no-decay,final,2,1.0,1.0,256
copying,combined-no-decay,final,3,1.0,1.0,256
copying,combined-no-decay,final,4,1.0,1.0,256
copying,combined-no-decay,final,5,1.0,1.0,256
copying,combined-no-decay,final,6,1.0,1.0,256
copying,combined-no-decay,final,7,1.0,1.0,256
copying,combined-no-decay,final,8,1.0,1.0,256
copying,combined-no-decay,final,9,1.0,1.0,256
copying,combined-no-decay,final,10,1.0,1.0,256
copying,combined-no-decay,final,11,1.0,1.0,256
copying,combined-no-decay,final,12,1.0,1.0,256
copying,combined-no-decay,final,13,1.0,1.0,256
copying,combined-no-decay,final,14,1.0,1.0,256
copying,combined-no-decay,final,16,1.0,1.0,256
copying,combined-no-decay,final,24,1.0,1.0,256
copying,combined-no-decay,final,32,1.0,1.0,256
copying,combined-no-decay,final,48,1.0,1.0,256
copying,combined-no-decay,final,64,1.0,1.0,256
copying,combined-no-decay,final,96,1.0,1.0,256
copying,combined-no-decay,final,128,1.0,1.0,256
copying,combined-no-decay,final,192,1.0,1.0,256
