Using checkpoint: model
Loading weights:   0%|          | 0/35 [00:00<?, ?it/s]Loading weights: 100%|██████████| 35/35 [00:00<00:00, 7119.33it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-learnable-decay-20260915/exp/copying/causal-conv4-learnable-decay-fixed10-20260915/model on 41 horizons (T=1..131072), 256 samples each, device=cuda:0
T=      1 | token 1.0000 | string 1.0000 | 0.6s <= train horizon
T=      2 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=      3 | token 0.9109 | string 0.1367 | 0.0s <= train horizon
T=      4 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=      5 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=      6 | token 0.9820 | string 0.8203 | 0.0s <= train horizon
T=      7 | token 0.9094 | string 0.0938 | 0.0s <= train horizon
T=      8 | token 0.9996 | string 0.9961 | 0.0s <= train horizon
T=      9 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     10 | token 0.9313 | string 0.3125 | 0.0s <= train horizon
T=     11 | token 0.9109 | string 0.1094 | 0.0s <= train horizon
T=     12 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     13 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     14 | token 0.9996 | string 0.9961 | 0.0s <= train horizon
T=     16 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     24 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     32 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     48 | token 0.9719 | string 0.7227 | 0.0s <= train horizon
T=     64 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     96 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=    128 | token 1.0000 | string 1.0000 | 0.1s <= train horizon
T=    192 | token 1.0000 | string 1.0000 | 0.1s <= train horizon
T=    256 | token 1.0000 | string 1.0000 | 0.1s <= train horizon
T=    384 | token 1.0000 | string 1.0000 | 0.2s <= train horizon
T=    512 | token 1.0000 | string 1.0000 | 0.3s <= train horizon
T=    768 | token 1.0000 | string 1.0000 | 0.4s <= train horizon
T=   1024 | token 0.9996 | string 0.9961 | 0.6s <= train horizon
T=   1536 | token 1.0000 | string 1.0000 | 0.8s <= train horizon
T=   2048 | token 0.9996 | string 0.9961 | 1.1s
T=   3072 | token 1.0000 | string 1.0000 | 1.7s
T=   4096 | token 0.9539 | string 0.5430 | 2.5s
T=   6144 | token 0.9711 | string 0.7109 | 3.9s
T=   8192 | token 0.9586 | string 0.5859 | 5.0s
T=  12288 | token 0.9621 | string 0.6211 | 7.4s
T=  16384 | token 0.9379 | string 0.3789 | 10.4s
T=  24576 | token 0.9328 | string 0.3320 | 15.7s
T=  32768 | token 0.9371 | string 0.3711 | 21.1s
T=  49152 | token 0.9324 | string 0.3242 | 31.8s
T=  65536 | token 0.9238 | string 0.2383 | 43.2s
T=  98304 | token 0.9277 | string 0.2852 | 66.8s
T= 131072 | token 0.9289 | string 0.2930 | 90.1s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-learnable-decay-20260915/exp/copying/causal-conv4-learnable-decay-fixed10-20260915/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-learnable-decay-20260915/exp/copying/causal-conv4-learnable-decay-fixed10-20260915/plot.png
