Using checkpoint: model
Loading weights:   0%|          | 0/35 [00:00<?, ?it/s]Loading weights: 100%|██████████| 35/35 [00:00<00:00, 8463.57it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-learnable-decay-20260915/exp/selective-copying/causal-conv4-learnable-decay-fixed10-20260915/model on 41 horizons (T=1..131072), 256 samples each, device=cuda:0
T=      1 | token 1.0000 | string 1.0000 | 0.6s <= train horizon
T=      2 | token 0.9973 | string 0.9727 | 0.0s <= train horizon
T=      3 | token 0.9996 | string 0.9961 | 0.0s <= train horizon
T=      4 | token 0.9926 | string 0.9297 | 0.0s <= train horizon
T=      5 | token 0.9977 | string 0.9766 | 0.0s <= train horizon
T=      6 | token 0.9988 | string 0.9883 | 0.0s <= train horizon
T=      7 | token 0.9988 | string 0.9883 | 0.0s <= train horizon
T=      8 | token 0.9980 | string 0.9805 | 0.0s <= train horizon
T=      9 | token 0.9984 | string 0.9844 | 0.0s <= train horizon
T=     10 | token 0.9984 | string 0.9844 | 0.0s <= train horizon
T=     11 | token 0.9969 | string 0.9688 | 0.0s <= train horizon
T=     12 | token 0.9992 | string 0.9922 | 0.0s <= train horizon
T=     13 | token 0.9973 | string 0.9727 | 0.0s <= train horizon
T=     14 | token 0.9977 | string 0.9766 | 0.0s <= train horizon
T=     16 | token 0.9727 | string 0.7656 | 0.0s <= train horizon
T=     24 | token 0.9973 | string 0.9727 | 0.0s <= train horizon
T=     32 | token 0.9852 | string 0.8594 | 0.0s <= train horizon
T=     48 | token 0.9730 | string 0.7695 | 0.0s <= train horizon
T=     64 | token 0.9793 | string 0.8203 | 0.0s <= train horizon
T=     96 | token 0.9852 | string 0.8516 | 0.0s <= train horizon
T=    128 | token 0.9797 | string 0.8164 | 0.1s <= train horizon
T=    192 | token 0.9867 | string 0.8789 | 0.1s <= train horizon
T=    256 | token 0.9609 | string 0.6836 | 0.1s <= train horizon
T=    384 | token 0.9801 | string 0.8281 | 0.2s <= train horizon
T=    512 | token 0.9691 | string 0.7305 | 0.3s <= train horizon
T=    768 | token 0.9574 | string 0.6875 | 0.4s <= train horizon
T=   1024 | token 0.9047 | string 0.3320 | 0.6s <= train horizon
T=   1536 | token 0.9187 | string 0.4375 | 0.9s <= train horizon
T=   2048 | token 0.8621 | string 0.2031 | 1.2s
T=   3072 | token 0.7965 | string 0.0977 | 1.7s
T=   4096 | token 0.7348 | string 0.0234 | 2.6s
T=   6144 | token 0.7133 | string 0.0234 | 4.0s
T=   8192 | token 0.6711 | string 0.0117 | 5.2s
T=  12288 | token 0.6105 | string 0.0039 | 7.7s
T=  16384 | token 0.5637 | string 0.0000 | 10.8s
T=  24576 | token 0.5754 | string 0.0000 | 16.4s
T=  32768 | token 0.5344 | string 0.0000 | 22.0s
T=  49152 | token 0.5062 | string 0.0000 | 33.2s
T=  65536 | token 0.4547 | string 0.0000 | 44.8s
T=  98304 | token 0.4625 | string 0.0000 | 68.5s
T= 131072 | token 0.4449 | string 0.0000 | 91.6s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-learnable-decay-20260915/exp/selective-copying/causal-conv4-learnable-decay-fixed10-20260915/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-learnable-decay-20260915/exp/selective-copying/causal-conv4-learnable-decay-fixed10-20260915/plot.png
