mode,task,position_mode,num_layers,checkpoint,evaluation,T,n,token_correct,string_correct,token_acc,string_acc,digit_errors
copying,copying,none,3,best,standard,1,256,2551,247,0.996484375,0.96484375,"[0, 0, 1, 0, 3, 0, 0, 0, 5, 0]"
copying,copying,none,3,best,standard,2,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
copying,copying,none,3,best,standard,3,256,2559,255,0.999609375,0.99609375,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,3,best,standard,4,256,2554,250,0.99765625,0.9765625,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 6]"
copying,copying,none,3,best,standard,5,256,2550,246,0.99609375,0.9609375,"[0, 0, 0, 0, 0, 1, 2, 0, 7, 0]"
copying,copying,none,3,best,standard,6,256,2525,224,0.986328125,0.875,"[0, 0, 0, 0, 0, 2, 0, 26, 6, 1]"
copying,copying,none,3,best,standard,7,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
copying,copying,none,3,best,standard,8,256,2555,251,0.998046875,0.98046875,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 4]"
copying,copying,none,3,best,standard,9,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 0, 1, 0, 0, 2, 0]"
copying,copying,none,3,best,standard,10,256,2536,233,0.990625,0.91015625,"[0, 0, 0, 0, 0, 0, 0, 22, 0, 2]"
copying,copying,none,3,best,standard,11,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,3,best,standard,12,256,2548,244,0.9953125,0.953125,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 12]"
copying,copying,none,3,best,standard,13,256,2504,221,0.978125,0.86328125,"[0, 1, 1, 0, 0, 1, 1, 0, 24, 28]"
copying,copying,none,3,best,standard,14,256,2302,123,0.89921875,0.48046875,"[0, 0, 0, 0, 0, 0, 0, 95, 96, 67]"
copying,copying,none,3,best,standard,16,256,2541,238,0.992578125,0.9296875,"[0, 0, 1, 0, 2, 1, 1, 1, 3, 10]"
copying,copying,none,3,best,standard,24,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
copying,copying,none,3,best,standard,32,256,2538,236,0.99140625,0.921875,"[0, 0, 0, 0, 7, 1, 0, 0, 3, 11]"
copying,copying,none,3,best,standard,48,256,2078,15,0.81171875,0.05859375,"[0, 0, 0, 0, 27, 2, 103, 108, 85, 157]"
copying,copying,none,3,best,standard,64,256,2540,237,0.9921875,0.92578125,"[0, 0, 1, 0, 1, 15, 1, 0, 0, 2]"
copying,copying,none,3,best,standard,96,256,2462,172,0.96171875,0.671875,"[0, 0, 0, 0, 1, 40, 0, 0, 0, 57]"
copying,copying,none,3,best,standard,128,256,2528,225,0.9875,0.87890625,"[0, 1, 1, 0, 0, 21, 0, 0, 0, 9]"
copying,copying,none,3,best,standard,192,256,2536,234,0.990625,0.9140625,"[0, 0, 0, 0, 0, 16, 0, 0, 0, 8]"
copying,copying,none,3,best,standard,256,256,1433,0,0.559765625,0.0,"[0, 0, 226, 53, 131, 207, 140, 126, 75, 169]"
copying,copying,none,3,best,standard,384,256,1360,0,0.53125,0.0,"[0, 0, 212, 79, 131, 204, 188, 116, 92, 178]"
copying,copying,none,3,best,standard,512,256,1459,0,0.569921875,0.0,"[0, 0, 227, 61, 124, 204, 122, 125, 74, 164]"
copying,copying,none,3,best,standard,768,256,1454,0,0.56796875,0.0,"[0, 0, 227, 62, 122, 202, 111, 118, 90, 174]"
copying,copying,none,3,best,standard,1024,256,1356,0,0.5296875,0.0,"[0, 1, 218, 23, 121, 200, 198, 184, 127, 132]"
copying,copying,none,3,best,standard,1536,256,1368,0,0.534375,0.0,"[0, 0, 217, 26, 110, 200, 195, 184, 132, 128]"
copying,copying,none,3,best,standard,2048,256,1359,0,0.530859375,0.0,"[0, 1, 223, 22, 117, 199, 197, 189, 114, 139]"
copying,copying,none,3,best,standard,3072,256,1367,0,0.533984375,0.0,"[0, 0, 218, 24, 99, 197, 210, 185, 140, 120]"
copying,copying,none,3,best,standard,4096,256,1363,0,0.532421875,0.0,"[0, 0, 220, 10, 110, 203, 203, 204, 119, 128]"
copying,copying,none,3,best,standard,6144,256,1386,0,0.54140625,0.0,"[0, 0, 220, 8, 97, 195, 207, 187, 130, 130]"
copying,copying,none,3,best,standard,8192,256,1350,0,0.52734375,0.0,"[0, 0, 229, 11, 112, 199, 199, 182, 137, 141]"
copying,copying,none,3,best,standard,12288,256,1371,0,0.535546875,0.0,"[0, 0, 230, 12, 96, 198, 207, 188, 142, 116]"
