Using checkpoint: model_best
Loading weights:   0%|          | 0/27 [00:00<?, ?it/s]Loading weights: 100%|██████████| 27/27 [00:00<00:00, 8725.34it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-no-position-main-20260913/exp/copying/no-position-fixed10-20260913/model_best on 41 horizons (T=1..131072), 256 samples each, device=cuda:0
T=      1 | token 0.9988 | string 0.9883 | 0.6s <= train horizon
T=      2 | token 0.9992 | string 0.9922 | 0.0s <= train horizon
T=      3 | token 0.9883 | string 0.8828 | 0.0s <= train horizon
T=      4 | token 0.9637 | string 0.6406 | 0.0s <= train horizon
T=      5 | token 0.9414 | string 0.5117 | 0.0s <= train horizon
T=      6 | token 0.9117 | string 0.3555 | 0.0s <= train horizon
T=      7 | token 0.9414 | string 0.5273 | 0.0s <= train horizon
T=      8 | token 0.9547 | string 0.5469 | 0.0s <= train horizon
T=      9 | token 0.9789 | string 0.8125 | 0.0s <= train horizon
T=     10 | token 0.9590 | string 0.6211 | 0.0s <= train horizon
T=     11 | token 0.9223 | string 0.4180 | 0.0s <= train horizon
T=     12 | token 0.9363 | string 0.3828 | 0.0s <= train horizon
T=     13 | token 0.9285 | string 0.2930 | 0.0s <= train horizon
T=     14 | token 0.9367 | string 0.4062 | 0.0s <= train horizon
T=     16 | token 0.9379 | string 0.4453 | 0.0s <= train horizon
T=     24 | token 0.9355 | string 0.3672 | 0.0s <= train horizon
T=     32 | token 0.8430 | string 0.1484 | 0.0s <= train horizon
T=     48 | token 0.7430 | string 0.0000 | 0.0s <= train horizon
T=     64 | token 0.8613 | string 0.1211 | 0.0s <= train horizon
T=     96 | token 0.7785 | string 0.0117 | 0.0s <= train horizon
T=    128 | token 0.8938 | string 0.2773 | 0.1s <= train horizon
T=    192 | token 0.8922 | string 0.2305 | 0.1s <= train horizon
T=    256 | token 0.7500 | string 0.0039 | 0.1s <= train horizon
T=    384 | token 0.7793 | string 0.0078 | 0.2s <= train horizon
T=    512 | token 0.7590 | string 0.0000 | 0.3s <= train horizon
T=    768 | token 0.7621 | string 0.0039 | 0.4s <= train horizon
T=   1024 | token 0.7352 | string 0.0000 | 0.5s <= train horizon
T=   1536 | token 0.7332 | string 0.0000 | 0.8s <= train horizon
T=   2048 | token 0.7285 | string 0.0039 | 1.1s
T=   3072 | token 0.7234 | string 0.0000 | 1.6s
T=   4096 | token 0.7215 | string 0.0000 | 2.4s
T=   6144 | token 0.7188 | string 0.0000 | 3.7s
T=   8192 | token 0.7219 | string 0.0000 | 4.7s
T=  12288 | token 0.7297 | string 0.0039 | 7.1s
T=  16384 | token 0.7188 | string 0.0000 | 9.9s
T=  24576 | token 0.7238 | string 0.0039 | 15.0s
T=  32768 | token 0.7281 | string 0.0000 | 20.2s
T=  49152 | token 0.7148 | string 0.0000 | 30.4s
T=  65536 | token 0.7176 | string 0.0000 | 41.2s
T=  98304 | token 0.7160 | string 0.0000 | 63.7s
T= 131072 | token 0.7191 | string 0.0039 | 86.1s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-no-position-main-20260913/exp/copying/no-position-fixed10-20260913/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-no-position-main-20260913/exp/copying/no-position-fixed10-20260913/plot.png
