mode,task,position_mode,checkpoint,evaluation,T,n,token_correct,string_correct,token_acc,string_acc,digit_errors
copying,copying,none,best,standard,1,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2]"
copying,copying,none,best,standard,2,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
copying,copying,none,best,standard,3,256,2530,226,0.98828125,0.8828125,"[0, 0, 1, 1, 0, 1, 20, 5, 0, 2]"
copying,copying,none,best,standard,4,256,2467,164,0.963671875,0.640625,"[0, 0, 0, 1, 0, 3, 0, 6, 1, 82]"
copying,copying,none,best,standard,5,256,2410,131,0.94140625,0.51171875,"[0, 0, 0, 4, 10, 5, 2, 75, 51, 3]"
copying,copying,none,best,standard,6,256,2334,91,0.91171875,0.35546875,"[0, 0, 1, 4, 2, 106, 2, 98, 3, 10]"
copying,copying,none,best,standard,7,256,2410,135,0.94140625,0.52734375,"[0, 0, 54, 10, 0, 25, 24, 13, 9, 15]"
copying,copying,none,best,standard,8,256,2444,140,0.9546875,0.546875,"[0, 0, 0, 0, 0, 7, 0, 1, 0, 108]"
copying,copying,none,best,standard,9,256,2506,208,0.97890625,0.8125,"[0, 0, 0, 0, 28, 5, 0, 2, 15, 4]"
copying,copying,none,best,standard,10,256,2455,159,0.958984375,0.62109375,"[0, 0, 0, 7, 0, 25, 0, 59, 1, 13]"
copying,copying,none,best,standard,11,256,2361,107,0.922265625,0.41796875,"[0, 0, 50, 7, 27, 67, 32, 5, 5, 6]"
copying,copying,none,best,standard,12,256,2397,98,0.936328125,0.3828125,"[0, 0, 2, 0, 0, 154, 0, 3, 1, 3]"
copying,copying,none,best,standard,13,256,2377,75,0.928515625,0.29296875,"[0, 0, 0, 0, 175, 1, 0, 1, 6, 0]"
copying,copying,none,best,standard,14,256,2398,104,0.93671875,0.40625,"[0, 0, 0, 140, 1, 11, 0, 4, 0, 6]"
copying,copying,none,best,standard,16,256,2401,114,0.937890625,0.4453125,"[0, 0, 0, 1, 6, 22, 125, 1, 1, 3]"
copying,copying,none,best,standard,24,256,2395,94,0.935546875,0.3671875,"[0, 0, 1, 1, 0, 9, 1, 0, 0, 153]"
copying,copying,none,best,standard,32,256,2158,38,0.84296875,0.1484375,"[0, 0, 1, 0, 0, 6, 143, 58, 97, 97]"
copying,copying,none,best,standard,48,256,1902,0,0.74296875,0.0,"[0, 0, 14, 14, 0, 7, 202, 208, 205, 8]"
copying,copying,none,best,standard,64,256,2205,31,0.861328125,0.12109375,"[0, 0, 7, 9, 12, 68, 27, 104, 91, 37]"
copying,copying,none,best,standard,96,256,1993,3,0.778515625,0.01171875,"[0, 0, 22, 2, 0, 6, 224, 51, 123, 139]"
copying,copying,none,best,standard,128,256,2288,71,0.89375,0.27734375,"[0, 0, 3, 4, 7, 55, 6, 97, 52, 48]"
copying,copying,none,best,standard,192,256,2284,59,0.8921875,0.23046875,"[0, 0, 2, 8, 6, 31, 8, 108, 71, 42]"
copying,copying,none,best,standard,256,256,1920,1,0.75,0.00390625,"[0, 0, 1, 4, 10, 28, 178, 206, 193, 20]"
copying,copying,none,best,standard,384,256,1995,2,0.779296875,0.0078125,"[0, 0, 0, 16, 6, 21, 93, 219, 192, 18]"
copying,copying,none,best,standard,512,256,1943,0,0.758984375,0.0,"[0, 0, 1, 7, 2, 24, 163, 204, 186, 30]"
copying,copying,none,best,standard,768,256,1951,1,0.762109375,0.00390625,"[0, 0, 1, 3, 6, 22, 141, 218, 203, 15]"
copying,copying,none,best,standard,1024,256,1882,0,0.73515625,0.0,"[0, 0, 1, 4, 10, 16, 215, 210, 192, 30]"
copying,copying,none,best,standard,1536,256,1877,0,0.733203125,0.0,"[1, 1, 3, 12, 5, 26, 203, 205, 195, 32]"
copying,copying,none,best,standard,2048,256,1865,1,0.728515625,0.00390625,"[1, 1, 1, 4, 11, 13, 225, 213, 199, 27]"
copying,copying,none,best,standard,3072,256,1852,0,0.7234375,0.0,"[0, 0, 1, 4, 12, 23, 223, 212, 205, 28]"
copying,copying,none,best,standard,4096,256,1847,0,0.721484375,0.0,"[1, 0, 2, 16, 12, 19, 223, 214, 201, 25]"
copying,copying,none,best,standard,6144,256,1840,0,0.71875,0.0,"[0, 0, 5, 19, 10, 21, 226, 212, 188, 39]"
copying,copying,none,best,standard,8192,256,1848,0,0.721875,0.0,"[2, 0, 4, 14, 10, 23, 223, 211, 204, 21]"
copying,copying,none,best,standard,12288,256,1868,1,0.7296875,0.00390625,"[1, 0, 1, 10, 9, 22, 221, 210, 198, 20]"
copying,copying,none,best,standard,16384,256,1840,0,0.71875,0.0,"[6, 0, 0, 14, 8, 25, 224, 219, 190, 34]"
copying,copying,none,best,standard,24576,256,1853,1,0.723828125,0.00390625,"[7, 0, 0, 18, 10, 22, 207, 213, 194, 36]"
copying,copying,none,best,standard,32768,256,1864,0,0.728125,0.0,"[4, 0, 4, 12, 8, 25, 215, 201, 184, 43]"
copying,copying,none,best,standard,49152,256,1830,0,0.71484375,0.0,"[8, 0, 1, 15, 12, 29, 225, 215, 198, 27]"
copying,copying,none,best,standard,65536,256,1837,0,0.717578125,0.0,"[14, 0, 2, 8, 7, 37, 213, 213, 196, 33]"
copying,copying,none,best,standard,98304,256,1833,0,0.716015625,0.0,"[15, 0, 0, 13, 10, 24, 220, 214, 196, 35]"
copying,copying,none,best,standard,131072,256,1841,1,0.719140625,0.00390625,"[25, 0, 1, 7, 14, 25, 217, 199, 195, 36]"
copying,copying,none,final,standard,1,256,2541,237,0.992578125,0.92578125,"[1, 0, 0, 0, 0, 0, 2, 16, 0, 0]"
copying,copying,none,final,standard,2,256,2535,232,0.990234375,0.90625,"[0, 1, 0, 1, 1, 0, 4, 16, 2, 0]"
copying,copying,none,final,standard,3,256,2535,233,0.990234375,0.91015625,"[0, 0, 0, 3, 0, 2, 11, 9, 0, 0]"
copying,copying,none,final,standard,4,256,2347,51,0.916796875,0.19921875,"[1, 1, 0, 1, 0, 202, 1, 7, 0, 0]"
copying,copying,none,final,standard,5,256,1452,45,0.5671875,0.17578125,"[2, 125, 110, 106, 171, 126, 117, 113, 117, 121]"
copying,copying,none,final,standard,6,256,2418,141,0.94453125,0.55078125,"[0, 0, 2, 69, 0, 12, 12, 8, 2, 37]"
copying,copying,none,final,standard,7,256,2024,6,0.790625,0.0234375,"[0, 3, 213, 16, 44, 219, 1, 13, 5, 22]"
copying,copying,none,final,standard,8,256,2483,185,0.969921875,0.72265625,"[0, 1, 2, 1, 1, 54, 3, 6, 0, 9]"
copying,copying,none,final,standard,9,256,2450,154,0.95703125,0.6015625,"[0, 3, 1, 2, 8, 4, 2, 5, 81, 4]"
copying,copying,none,final,standard,10,256,2453,157,0.958203125,0.61328125,"[0, 2, 2, 18, 1, 9, 8, 49, 3, 15]"
copying,copying,none,final,standard,11,256,1966,9,0.76796875,0.03515625,"[1, 9, 192, 8, 152, 200, 8, 13, 8, 3]"
copying,copying,none,final,standard,12,256,2420,133,0.9453125,0.51953125,"[0, 0, 2, 3, 0, 105, 4, 12, 1, 13]"
copying,copying,none,final,standard,13,256,2334,73,0.91171875,0.28515625,"[2, 4, 0, 1, 163, 0, 4, 17, 4, 31]"
copying,copying,none,final,standard,14,256,2440,153,0.953125,0.59765625,"[0, 0, 4, 53, 1, 6, 2, 25, 27, 2]"
copying,copying,none,final,standard,16,256,2427,145,0.948046875,0.56640625,"[0, 2, 4, 1, 0, 4, 5, 64, 51, 2]"
copying,copying,none,final,standard,24,256,2500,198,0.9765625,0.7734375,"[1, 0, 5, 0, 0, 31, 4, 4, 1, 14]"
copying,copying,none,final,standard,32,256,2496,201,0.975,0.78515625,"[0, 2, 0, 4, 2, 12, 14, 8, 16, 6]"
copying,copying,none,final,standard,48,256,1526,0,0.59609375,0.0,"[0, 5, 2, 160, 128, 100, 211, 215, 209, 4]"
copying,copying,none,final,standard,64,256,2051,5,0.801171875,0.01953125,"[0, 3, 0, 2, 3, 10, 46, 214, 230, 1]"
copying,copying,none,final,standard,96,256,2022,8,0.78984375,0.03125,"[0, 3, 2, 1, 2, 28, 216, 113, 148, 25]"
copying,copying,none,final,standard,128,256,2100,2,0.8203125,0.0078125,"[0, 0, 0, 0, 2, 5, 18, 214, 219, 2]"
copying,copying,none,final,standard,192,256,2152,7,0.840625,0.02734375,"[0, 3, 0, 1, 2, 4, 9, 179, 210, 0]"
copying,copying,none,final,standard,256,256,1942,0,0.75859375,0.0,"[0, 1, 21, 2, 0, 10, 145, 216, 180, 43]"
copying,copying,none,final,standard,384,256,1950,1,0.76171875,0.00390625,"[0, 0, 8, 2, 0, 10, 119, 222, 219, 30]"
copying,copying,none,final,standard,512,256,1969,0,0.769140625,0.0,"[0, 2, 13, 4, 1, 6, 120, 224, 169, 52]"
copying,copying,none,final,standard,768,256,1958,0,0.76484375,0.0,"[0, 1, 19, 1, 3, 8, 110, 234, 192, 34]"
copying,copying,none,final,standard,1024,256,1849,1,0.722265625,0.00390625,"[0, 0, 48, 5, 0, 12, 221, 214, 163, 48]"
copying,copying,none,final,standard,1536,256,1869,1,0.730078125,0.00390625,"[0, 4, 41, 9, 0, 10, 206, 204, 170, 47]"
copying,copying,none,final,standard,2048,256,1852,1,0.7234375,0.00390625,"[0, 0, 58, 5, 3, 7, 206, 215, 176, 38]"
copying,copying,none,final,standard,3072,256,1872,0,0.73125,0.0,"[0, 0, 41, 4, 2, 10, 209, 203, 166, 53]"
copying,copying,none,final,standard,4096,256,1841,0,0.719140625,0.0,"[0, 1, 70, 3, 0, 9, 208, 209, 168, 51]"
copying,copying,none,final,standard,6144,256,1840,0,0.71875,0.0,"[0, 1, 70, 10, 1, 6, 208, 205, 169, 50]"
copying,copying,none,final,standard,8192,256,1851,0,0.723046875,0.0,"[0, 0, 58, 8, 2, 13, 212, 205, 153, 58]"
copying,copying,none,final,standard,12288,256,1847,0,0.721484375,0.0,"[0, 0, 69, 3, 0, 10, 216, 210, 170, 35]"
copying,copying,none,final,standard,16384,256,1860,0,0.7265625,0.0,"[0, 0, 52, 8, 1, 10, 202, 215, 165, 47]"
copying,copying,none,final,standard,24576,256,1829,1,0.714453125,0.00390625,"[0, 2, 61, 14, 5, 9, 208, 210, 184, 38]"
copying,copying,none,final,standard,32768,256,1835,0,0.716796875,0.0,"[0, 4, 63, 8, 5, 16, 205, 207, 170, 47]"
copying,copying,none,final,standard,49152,256,1809,0,0.706640625,0.0,"[0, 1, 76, 6, 0, 17, 217, 221, 173, 40]"
copying,copying,none,final,standard,65536,256,1800,0,0.703125,0.0,"[0, 0, 71, 6, 3, 19, 208, 216, 189, 48]"
copying,copying,none,final,standard,98304,256,1828,2,0.7140625,0.0078125,"[0, 0, 62, 2, 4, 14, 210, 214, 180, 46]"
copying,copying,none,final,standard,131072,256,1817,1,0.709765625,0.00390625,"[0, 2, 57, 10, 8, 15, 211, 207, 183, 50]"
selective-copying,selective-copying,none,best,standard,1,256,2517,218,0.983203125,0.8515625,"[0, 0, 1, 2, 3, 3, 17, 17, 0, 0]"
selective-copying,selective-copying,none,best,standard,2,256,2444,164,0.9546875,0.640625,"[0, 0, 7, 4, 9, 16, 17, 26, 19, 18]"
selective-copying,selective-copying,none,best,standard,3,256,2234,68,0.87265625,0.265625,"[0, 4, 28, 29, 36, 53, 65, 69, 29, 13]"
selective-copying,selective-copying,none,best,standard,4,256,1891,9,0.738671875,0.03515625,"[0, 1, 58, 98, 92, 151, 89, 99, 55, 26]"
selective-copying,selective-copying,none,best,standard,5,256,1703,3,0.665234375,0.01171875,"[0, 12, 62, 91, 136, 186, 144, 126, 84, 16]"
selective-copying,selective-copying,none,best,standard,6,256,1554,0,0.60703125,0.0,"[4, 51, 97, 130, 131, 170, 131, 141, 122, 29]"
selective-copying,selective-copying,none,best,standard,7,256,1538,3,0.60078125,0.01171875,"[18, 39, 42, 90, 87, 145, 220, 131, 161, 89]"
selective-copying,selective-copying,none,best,standard,8,256,1919,13,0.749609375,0.05078125,"[0, 6, 26, 47, 77, 175, 137, 80, 36, 57]"
selective-copying,selective-copying,none,best,standard,9,256,1801,1,0.703515625,0.00390625,"[5, 8, 30, 47, 145, 177, 131, 113, 98, 5]"
selective-copying,selective-copying,none,best,standard,10,256,1762,2,0.68828125,0.0078125,"[0, 7, 24, 103, 102, 209, 140, 162, 47, 4]"
selective-copying,selective-copying,none,best,standard,11,256,1666,1,0.65078125,0.00390625,"[1, 14, 31, 65, 194, 178, 184, 126, 79, 22]"
selective-copying,selective-copying,none,best,standard,12,256,1947,17,0.760546875,0.06640625,"[0, 5, 27, 56, 103, 160, 110, 71, 40, 41]"
selective-copying,selective-copying,none,best,standard,13,256,1929,19,0.753515625,0.07421875,"[1, 4, 29, 65, 109, 119, 113, 90, 95, 6]"
selective-copying,selective-copying,none,best,standard,14,256,1838,10,0.71796875,0.0390625,"[0, 8, 38, 65, 99, 124, 127, 138, 114, 9]"
selective-copying,selective-copying,none,best,standard,16,256,1840,9,0.71875,0.03515625,"[0, 15, 23, 69, 100, 119, 141, 94, 119, 40]"
selective-copying,selective-copying,none,best,standard,24,256,1863,10,0.727734375,0.0390625,"[0, 3, 26, 44, 94, 190, 138, 97, 59, 46]"
selective-copying,selective-copying,none,best,standard,32,256,1750,4,0.68359375,0.015625,"[0, 11, 23, 63, 115, 144, 159, 146, 88, 61]"
selective-copying,selective-copying,none,best,standard,48,256,1562,0,0.61015625,0.0,"[0, 14, 41, 100, 153, 158, 157, 151, 178, 46]"
selective-copying,selective-copying,none,best,standard,64,256,1553,0,0.606640625,0.0,"[0, 21, 42, 79, 131, 133, 196, 180, 215, 10]"
selective-copying,selective-copying,none,best,standard,96,256,1633,0,0.637890625,0.0,"[2, 19, 48, 92, 111, 156, 165, 148, 106, 80]"
selective-copying,selective-copying,none,best,standard,128,256,1616,2,0.63125,0.0078125,"[0, 9, 34, 80, 118, 161, 167, 166, 189, 20]"
selective-copying,selective-copying,none,best,standard,192,256,1603,0,0.626171875,0.0,"[1, 14, 47, 93, 121, 148, 164, 151, 179, 39]"
selective-copying,selective-copying,none,best,standard,256,256,1566,0,0.61171875,0.0,"[1, 23, 49, 84, 119, 146, 164, 182, 182, 44]"
selective-copying,selective-copying,none,best,standard,384,256,1627,2,0.635546875,0.0078125,"[1, 14, 38, 102, 127, 140, 161, 136, 177, 37]"
selective-copying,selective-copying,none,best,standard,512,256,1539,0,0.601171875,0.0,"[0, 12, 51, 91, 153, 160, 166, 183, 151, 54]"
selective-copying,selective-copying,none,best,standard,768,256,1497,1,0.584765625,0.00390625,"[0, 13, 74, 104, 144, 167, 172, 171, 157, 61]"
selective-copying,selective-copying,none,best,standard,1024,256,1446,1,0.56484375,0.00390625,"[7, 30, 68, 128, 139, 151, 161, 166, 187, 77]"
selective-copying,selective-copying,none,best,standard,1536,256,1480,1,0.578125,0.00390625,"[2, 31, 76, 124, 162, 153, 171, 156, 145, 60]"
selective-copying,selective-copying,none,best,standard,2048,256,1375,0,0.537109375,0.0,"[5, 37, 82, 130, 150, 170, 184, 175, 189, 63]"
selective-copying,selective-copying,none,best,standard,3072,256,1331,0,0.519921875,0.0,"[7, 32, 104, 148, 152, 175, 169, 181, 179, 82]"
selective-copying,selective-copying,none,best,standard,4096,256,1137,0,0.444140625,0.0,"[22, 93, 109, 161, 183, 189, 179, 188, 195, 104]"
selective-copying,selective-copying,none,best,standard,6144,256,1185,0,0.462890625,0.0,"[27, 77, 131, 145, 192, 191, 185, 183, 172, 72]"
selective-copying,selective-copying,none,best,standard,8192,256,1141,0,0.445703125,0.0,"[18, 73, 111, 141, 191, 190, 193, 200, 179, 123]"
selective-copying,selective-copying,none,best,standard,12288,256,1080,0,0.421875,0.0,"[37, 79, 138, 143, 184, 192, 202, 195, 175, 135]"
selective-copying,selective-copying,none,best,standard,16384,256,736,0,0.2875,0.0,"[92, 166, 180, 190, 193, 203, 206, 206, 208, 180]"
selective-copying,selective-copying,none,best,standard,24576,256,866,0,0.33828125,0.0,"[88, 156, 178, 200, 205, 200, 185, 188, 179, 115]"
selective-copying,selective-copying,none,best,standard,32768,256,753,0,0.294140625,0.0,"[78, 163, 157, 201, 188, 208, 191, 203, 212, 206]"
selective-copying,selective-copying,none,best,standard,49152,256,854,0,0.33359375,0.0,"[68, 151, 173, 183, 195, 197, 192, 177, 181, 189]"
selective-copying,selective-copying,none,best,standard,65536,256,461,0,0.180078125,0.0,"[190, 207, 208, 215, 200, 220, 213, 213, 216, 217]"
selective-copying,selective-copying,none,best,standard,98304,256,582,0,0.22734375,0.0,"[169, 191, 207, 219, 210, 209, 200, 201, 184, 188]"
selective-copying,selective-copying,none,best,standard,131072,256,556,0,0.2171875,0.0,"[161, 191, 205, 202, 198, 206, 208, 210, 210, 213]"
selective-copying,selective-copying,none,final,standard,1,256,2529,227,0.987890625,0.88671875,"[0, 0, 1, 2, 2, 5, 16, 4, 1, 0]"
selective-copying,selective-copying,none,final,standard,2,256,2357,108,0.920703125,0.421875,"[3, 1, 9, 8, 23, 41, 20, 41, 45, 12]"
