Using checkpoint: model_best
Loading weights:   0%|          | 0/27 [00:00<?, ?it/s]Loading weights: 100%|██████████| 27/27 [00:00<00:00, 13319.95it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-no-position-main-20260913/exp/selective-copying/no-position-fixed10-20260913/model_best on 41 horizons (T=1..131072), 256 samples each, device=cuda:0
T=      1 | token 0.9832 | string 0.8516 | 0.6s <= train horizon
T=      2 | token 0.9547 | string 0.6406 | 0.0s <= train horizon
T=      3 | token 0.8727 | string 0.2656 | 0.0s <= train horizon
T=      4 | token 0.7387 | string 0.0352 | 0.0s <= train horizon
T=      5 | token 0.6652 | string 0.0117 | 0.0s <= train horizon
T=      6 | token 0.6070 | string 0.0000 | 0.0s <= train horizon
T=      7 | token 0.6008 | string 0.0117 | 0.0s <= train horizon
T=      8 | token 0.7496 | string 0.0508 | 0.0s <= train horizon
T=      9 | token 0.7035 | string 0.0039 | 0.0s <= train horizon
T=     10 | token 0.6883 | string 0.0078 | 0.0s <= train horizon
T=     11 | token 0.6508 | string 0.0039 | 0.0s <= train horizon
T=     12 | token 0.7605 | string 0.0664 | 0.0s <= train horizon
T=     13 | token 0.7535 | string 0.0742 | 0.0s <= train horizon
T=     14 | token 0.7180 | string 0.0391 | 0.0s <= train horizon
T=     16 | token 0.7188 | string 0.0352 | 0.0s <= train horizon
T=     24 | token 0.7277 | string 0.0391 | 0.0s <= train horizon
T=     32 | token 0.6836 | string 0.0156 | 0.0s <= train horizon
T=     48 | token 0.6102 | string 0.0000 | 0.0s <= train horizon
T=     64 | token 0.6066 | string 0.0000 | 0.0s <= train horizon
T=     96 | token 0.6379 | string 0.0000 | 0.0s <= train horizon
T=    128 | token 0.6312 | string 0.0078 | 0.1s <= train horizon
T=    192 | token 0.6262 | string 0.0000 | 0.1s <= train horizon
T=    256 | token 0.6117 | string 0.0000 | 0.1s <= train horizon
T=    384 | token 0.6355 | string 0.0078 | 0.2s <= train horizon
T=    512 | token 0.6012 | string 0.0000 | 0.3s <= train horizon
T=    768 | token 0.5848 | string 0.0039 | 0.4s <= train horizon
T=   1024 | token 0.5648 | string 0.0039 | 0.6s <= train horizon
T=   1536 | token 0.5781 | string 0.0039 | 0.8s <= train horizon
T=   2048 | token 0.5371 | string 0.0000 | 1.1s
T=   3072 | token 0.5199 | string 0.0000 | 1.7s
T=   4096 | token 0.4441 | string 0.0000 | 2.5s
T=   6144 | token 0.4629 | string 0.0000 | 3.9s
T=   8192 | token 0.4457 | string 0.0000 | 4.9s
T=  12288 | token 0.4219 | string 0.0000 | 7.3s
T=  16384 | token 0.2875 | string 0.0000 | 10.3s
T=  24576 | token 0.3383 | string 0.0000 | 15.6s
T=  32768 | token 0.2941 | string 0.0000 | 21.0s
T=  49152 | token 0.3336 | string 0.0000 | 31.6s
T=  65536 | token 0.1801 | string 0.0000 | 42.8s
T=  98304 | token 0.2273 | string 0.0000 | 66.0s
T= 131072 | token 0.2172 | string 0.0000 | 89.6s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-no-position-main-20260913/exp/selective-copying/no-position-fixed10-20260913/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-no-position-main-20260913/exp/selective-copying/no-position-fixed10-20260913/plot.png
