mode,checkpoint,T,token_correct,string_correct,token_acc,string_acc,n
phase2,best,1,2560,256,1.0,1.0,256
phase2,best,2,2560,256,1.0,1.0,256
phase2,best,3,2560,256,1.0,1.0,256
phase2,best,4,2560,256,1.0,1.0,256
phase2,best,5,2560,256,1.0,1.0,256
phase2,best,6,2560,256,1.0,1.0,256
phase2,best,7,2560,256,1.0,1.0,256
phase2,best,8,2560,256,1.0,1.0,256
phase2,best,9,2560,256,1.0,1.0,256
phase2,best,10,2560,256,1.0,1.0,256
phase2,best,11,2560,256,1.0,1.0,256
phase2,best,12,2560,256,1.0,1.0,256
phase2,best,13,2560,256,1.0,1.0,256
phase2,best,14,2560,256,1.0,1.0,256
phase2,best,16,2560,256,1.0,1.0,256
phase2,best,24,2560,256,1.0,1.0,256
phase2,best,32,2560,256,1.0,1.0,256
phase2,best,48,2560,256,1.0,1.0,256
phase2,best,64,2560,256,1.0,1.0,256
phase2,best,96,2560,256,1.0,1.0,256
phase2,best,128,2560,256,1.0,1.0,256
phase2,best,192,2560,256,1.0,1.0,256
phase2,best,256,2560,256,1.0,1.0,256
phase2,best,384,2560,256,1.0,1.0,256
phase2,best,512,2560,256,1.0,1.0,256
phase2,best,768,2560,256,1.0,1.0,256
phase2,best,1024,2560,256,1.0,1.0,256
phase2,best,1536,2560,256,1.0,1.0,256
phase2,best,2048,2560,256,1.0,1.0,256
phase2,best,3072,2560,256,1.0,1.0,256
phase2,best,4096,2560,256,1.0,1.0,256
phase2,best,6144,2560,256,1.0,1.0,256
phase2,best,8192,2560,256,1.0,1.0,256
phase2,final,1,2560,256,1.0,1.0,256
phase2,final,2,2560,256,1.0,1.0,256
phase2,final,3,2560,256,1.0,1.0,256
phase2,final,4,2560,256,1.0,1.0,256
phase2,final,5,2560,256,1.0,1.0,256
phase2,final,6,2560,256,1.0,1.0,256
phase2,final,7,2560,256,1.0,1.0,256
phase2,final,8,2560,256,1.0,1.0,256
phase2,final,9,2560,256,1.0,1.0,256
phase2,final,10,2560,256,1.0,1.0,256
phase2,final,11,2560,256,1.0,1.0,256
phase2,final,12,2560,256,1.0,1.0,256
phase2,final,13,2560,256,1.0,1.0,256
phase2,final,14,2560,256,1.0,1.0,256
phase2,final,16,2560,256,1.0,1.0,256
phase2,final,24,2560,256,1.0,1.0,256
phase2,final,32,2560,256,1.0,1.0,256
phase2,final,48,2560,256,1.0,1.0,256
phase2,final,64,2560,256,1.0,1.0,256
phase2,final,96,2560,256,1.0,1.0,256
phase2,final,128,2560,256,1.0,1.0,256
phase2,final,192,2560,256,1.0,1.0,256
phase2,final,256,2560,256,1.0,1.0,256
phase2,final,384,2560,256,1.0,1.0,256
phase2,final,512,2560,256,1.0,1.0,256
phase2,final,768,2560,256,1.0,1.0,256
phase2,final,1024,2560,256,1.0,1.0,256
phase2,final,1536,2560,256,1.0,1.0,256
phase2,final,2048,2560,256,1.0,1.0,256
phase2,final,3072,2560,256,1.0,1.0,256
phase2,final,4096,2560,256,1.0,1.0,256
phase2,final,6144,2560,256,1.0,1.0,256
phase2,final,8192,2560,256,1.0,1.0,256
retrieval-rope,best,1,2560,256,1.0,1.0,256
retrieval-rope,best,2,2560,256,1.0,1.0,256
retrieval-rope,best,3,2560,256,1.0,1.0,256
retrieval-rope,best,4,2560,256,1.0,1.0,256
