Using checkpoint: model
Loading weights:   0%|          | 0/29 [00:00<?, ?it/s]Loading weights: 100%|██████████| 29/29 [00:00<00:00, 6520.93it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/copying/phase2-fixed10-20260908/model on 33 horizons (T=1..8192), 256 samples each, device=cuda:0
T=      1 | token 1.0000 | string 1.0000 | 0.6s <= train horizon
T=      2 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=      3 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=      4 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=      5 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=      6 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=      7 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=      8 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=      9 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     10 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     11 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     12 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     13 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     14 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     16 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     24 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     32 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     48 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     64 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     96 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=    128 | token 1.0000 | string 1.0000 | 0.1s <= train horizon
T=    192 | token 1.0000 | string 1.0000 | 0.1s <= train horizon
T=    256 | token 1.0000 | string 1.0000 | 0.1s <= train horizon
T=    384 | token 1.0000 | string 1.0000 | 0.2s <= train horizon
T=    512 | token 1.0000 | string 1.0000 | 0.3s <= train horizon
T=    768 | token 1.0000 | string 1.0000 | 0.4s <= train horizon
T=   1024 | token 1.0000 | string 1.0000 | 0.6s <= train horizon
T=   1536 | token 1.0000 | string 1.0000 | 0.8s <= train horizon
T=   2048 | token 1.0000 | string 1.0000 | 1.1s
T=   3072 | token 1.0000 | string 1.0000 | 1.6s
T=   4096 | token 1.0000 | string 1.0000 | 2.4s
T=   6144 | token 1.0000 | string 1.0000 | 3.7s
T=   8192 | token 1.0000 | string 1.0000 | 4.8s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/copying/phase2-fixed10-20260908/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/copying/phase2-fixed10-20260908/plot.png
