Using checkpoint: model
Loading weights:   0%|          | 0/29 [00:00<?, ?it/s]Loading weights: 100%|██████████| 29/29 [00:00<00:00, 6640.54it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/selective-copying/compressor-rope-fixed10-20260908/model on 33 horizons (T=1..8192), 256 samples each, device=cuda:0
T=      1 | token 1.0000 | string 1.0000 | 0.6s <= train horizon
T=      2 | token 0.9984 | string 0.9883 | 0.0s <= train horizon
T=      3 | token 0.9996 | string 0.9961 | 0.0s <= train horizon
T=      4 | token 0.9941 | string 0.9492 | 0.0s <= train horizon
T=      5 | token 0.9895 | string 0.9062 | 0.0s <= train horizon
T=      6 | token 0.9832 | string 0.8477 | 0.0s <= train horizon
T=      7 | token 0.9711 | string 0.7852 | 0.0s <= train horizon
T=      8 | token 0.9711 | string 0.7695 | 0.0s <= train horizon
T=      9 | token 0.9875 | string 0.8945 | 0.0s <= train horizon
T=     10 | token 0.9875 | string 0.8789 | 0.0s <= train horizon
T=     11 | token 0.9910 | string 0.9219 | 0.0s <= train horizon
T=     12 | token 0.9879 | string 0.8867 | 0.0s <= train horizon
T=     13 | token 0.9836 | string 0.8711 | 0.0s <= train horizon
T=     14 | token 0.9816 | string 0.8398 | 0.0s <= train horizon
T=     16 | token 0.9613 | string 0.6797 | 0.0s <= train horizon
T=     24 | token 0.9105 | string 0.4297 | 0.0s <= train horizon
T=     32 | token 0.9047 | string 0.3594 | 0.0s <= train horizon
T=     48 | token 0.8465 | string 0.1836 | 0.0s <= train horizon
T=     64 | token 0.8504 | string 0.2070 | 0.0s <= train horizon
T=     96 | token 0.8215 | string 0.1562 | 0.0s <= train horizon
T=    128 | token 0.7902 | string 0.0703 | 0.1s <= train horizon
T=    192 | token 0.7262 | string 0.0352 | 0.1s <= train horizon
T=    256 | token 0.7320 | string 0.0273 | 0.1s <= train horizon
T=    384 | token 0.7379 | string 0.0391 | 0.2s <= train horizon
T=    512 | token 0.6926 | string 0.0273 | 0.3s <= train horizon
T=    768 | token 0.6879 | string 0.0117 | 0.4s <= train horizon
T=   1024 | token 0.6832 | string 0.0117 | 0.6s <= train horizon
T=   1536 | token 0.6723 | string 0.0117 | 0.9s <= train horizon
T=   2048 | token 0.6344 | string 0.0000 | 1.2s
T=   3072 | token 0.6145 | string 0.0039 | 1.8s
T=   4096 | token 0.5648 | string 0.0000 | 2.6s
T=   6144 | token 0.5703 | string 0.0039 | 3.9s
T=   8192 | token 0.5137 | string 0.0000 | 5.2s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/selective-copying/compressor-rope-fixed10-20260908/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/selective-copying/compressor-rope-fixed10-20260908/plot.png
