mode,checkpoint,T,token_correct,string_correct,token_acc,string_acc,n
phase2,best,1,2560,256,1.0,1.0,256
phase2,best,2,2552,248,0.996875,0.96875,256
phase2,best,3,2512,211,0.98125,0.82421875,256
phase2,best,4,2418,150,0.94453125,0.5859375,256
phase2,best,5,2486,194,0.97109375,0.7578125,256
phase2,best,6,2456,167,0.959375,0.65234375,256
phase2,best,7,2454,176,0.95859375,0.6875,256
phase2,best,8,2499,206,0.976171875,0.8046875,256
phase2,best,9,2523,226,0.985546875,0.8828125,256
phase2,best,10,2519,222,0.983984375,0.8671875,256
phase2,best,11,2517,219,0.983203125,0.85546875,256
phase2,best,12,2514,215,0.98203125,0.83984375,256
phase2,best,13,2524,224,0.9859375,0.875,256
phase2,best,14,2496,199,0.975,0.77734375,256
phase2,best,16,2416,147,0.94375,0.57421875,256
phase2,best,24,2313,97,0.903515625,0.37890625,256
phase2,best,32,2247,62,0.877734375,0.2421875,256
phase2,best,48,2022,24,0.78984375,0.09375,256
phase2,best,64,2014,24,0.78671875,0.09375,256
phase2,best,96,2004,22,0.7828125,0.0859375,256
phase2,best,128,1881,9,0.734765625,0.03515625,256
phase2,best,192,1863,8,0.727734375,0.03125,256
phase2,best,256,1848,4,0.721875,0.015625,256
phase2,best,384,1944,18,0.759375,0.0703125,256
phase2,best,512,1778,4,0.69453125,0.015625,256
phase2,best,768,1707,4,0.666796875,0.015625,256
phase2,best,1024,1750,4,0.68359375,0.015625,256
phase2,best,1536,1760,4,0.6875,0.015625,256
phase2,best,2048,1642,3,0.64140625,0.01171875,256
phase2,best,3072,1581,1,0.617578125,0.00390625,256
phase2,best,4096,1501,1,0.586328125,0.00390625,256
phase2,best,6144,1578,0,0.61640625,0.0,256
phase2,best,8192,1377,2,0.537890625,0.0078125,256
phase2,final,1,2560,256,1.0,1.0,256
phase2,final,2,2559,255,0.999609375,0.99609375,256
phase2,final,3,2513,215,0.981640625,0.83984375,256
phase2,final,4,2539,237,0.991796875,0.92578125,256
phase2,final,5,2546,243,0.99453125,0.94921875,256
phase2,final,6,2485,191,0.970703125,0.74609375,256
phase2,final,7,2338,92,0.91328125,0.359375,256
phase2,final,8,2505,209,0.978515625,0.81640625,256
phase2,final,9,2511,214,0.980859375,0.8359375,256
phase2,final,10,2537,236,0.991015625,0.921875,256
phase2,final,11,2517,220,0.983203125,0.859375,256
phase2,final,12,2415,141,0.943359375,0.55078125,256
phase2,final,13,2264,72,0.884375,0.28125,256
phase2,final,14,2256,57,0.88125,0.22265625,256
phase2,final,16,2416,144,0.94375,0.5625,256
phase2,final,24,2404,141,0.9390625,0.55078125,256
phase2,final,32,2180,57,0.8515625,0.22265625,256
phase2,final,48,1992,29,0.778125,0.11328125,256
phase2,final,64,2052,31,0.8015625,0.12109375,256
phase2,final,96,2022,18,0.78984375,0.0703125,256
phase2,final,128,1915,12,0.748046875,0.046875,256
phase2,final,192,1799,8,0.702734375,0.03125,256
phase2,final,256,1869,6,0.730078125,0.0234375,256
phase2,final,384,1863,6,0.727734375,0.0234375,256
phase2,final,512,1768,5,0.690625,0.01953125,256
phase2,final,768,1717,4,0.670703125,0.015625,256
phase2,final,1024,1728,1,0.675,0.00390625,256
phase2,final,1536,1738,6,0.67890625,0.0234375,256
phase2,final,2048,1678,2,0.65546875,0.0078125,256
phase2,final,3072,1619,3,0.632421875,0.01171875,256
phase2,final,4096,1575,3,0.615234375,0.01171875,256
phase2,final,6144,1608,2,0.628125,0.0078125,256
phase2,final,8192,1474,1,0.57578125,0.00390625,256
retrieval-rope,best,1,2560,256,1.0,1.0,256
retrieval-rope,best,2,2557,253,0.998828125,0.98828125,256
retrieval-rope,best,3,2558,254,0.99921875,0.9921875,256
retrieval-rope,best,4,2545,242,0.994140625,0.9453125,256
retrieval-rope,best,5,2546,243,0.99453125,0.94921875,256
retrieval-rope,best,6,2535,234,0.990234375,0.9140625,256
retrieval-rope,best,7,2527,224,0.987109375,0.875,256
retrieval-rope,best,8,2537,238,0.991015625,0.9296875,256
retrieval-rope,best,9,2545,243,0.994140625,0.94921875,256
retrieval-rope,best,10,2542,240,0.99296875,0.9375,256
retrieval-rope,best,11,2540,239,0.9921875,0.93359375,256
retrieval-rope,best,12,2540,237,0.9921875,0.92578125,256
retrieval-rope,best,13,2531,231,0.988671875,0.90234375,256
retrieval-rope,best,14,2524,226,0.9859375,0.8828125,256
retrieval-rope,best,16,2517,217,0.983203125,0.84765625,256
retrieval-rope,best,24,2470,179,0.96484375,0.69921875,256
retrieval-rope,best,32,2421,151,0.945703125,0.58984375,256
retrieval-rope,best,48,2266,76,0.88515625,0.296875,256
retrieval-rope,best,64,2209,69,0.862890625,0.26953125,256
retrieval-rope,best,96,2188,47,0.8546875,0.18359375,256
retrieval-rope,best,128,2105,38,0.822265625,0.1484375,256
retrieval-rope,best,192,2040,31,0.796875,0.12109375,256
retrieval-rope,best,256,1883,13,0.735546875,0.05078125,256
retrieval-rope,best,384,1980,22,0.7734375,0.0859375,256
retrieval-rope,best,512,1876,10,0.7328125,0.0390625,256
retrieval-rope,best,768,1827,10,0.713671875,0.0390625,256
retrieval-rope,best,1024,1765,3,0.689453125,0.01171875,256
retrieval-rope,best,1536,1783,5,0.696484375,0.01953125,256
retrieval-rope,best,2048,1655,3,0.646484375,0.01171875,256
retrieval-rope,best,3072,1584,0,0.61875,0.0,256
retrieval-rope,best,4096,1499,5,0.585546875,0.01953125,256
retrieval-rope,best,6144,1564,2,0.6109375,0.0078125,256
retrieval-rope,best,8192,1370,0,0.53515625,0.0,256
retrieval-rope,final,1,2560,256,1.0,1.0,256
retrieval-rope,final,2,2560,256,1.0,1.0,256
retrieval-rope,final,3,2550,247,0.99609375,0.96484375,256
retrieval-rope,final,4,2540,239,0.9921875,0.93359375,256
retrieval-rope,final,5,2553,250,0.997265625,0.9765625,256
retrieval-rope,final,6,2539,238,0.991796875,0.9296875,256
retrieval-rope,final,7,2496,199,0.975,0.77734375,256
retrieval-rope,final,8,2521,223,0.984765625,0.87109375,256
retrieval-rope,final,9,2538,235,0.99140625,0.91796875,256
retrieval-rope,final,10,2528,230,0.9875,0.8984375,256
retrieval-rope,final,11,2520,224,0.984375,0.875,256
retrieval-rope,final,12,2522,222,0.98515625,0.8671875,256
retrieval-rope,final,13,2509,213,0.980078125,0.83203125,256
retrieval-rope,final,14,2509,214,0.980078125,0.8359375,256
retrieval-rope,final,16,2481,188,0.969140625,0.734375,256
retrieval-rope,final,24,2418,153,0.94453125,0.59765625,256
retrieval-rope,final,32,2342,108,0.91484375,0.421875,256
retrieval-rope,final,48,2212,57,0.8640625,0.22265625,256
retrieval-rope,final,64,2038,25,0.79609375,0.09765625,256
retrieval-rope,final,96,2115,34,0.826171875,0.1328125,256
retrieval-rope,final,128,2007,18,0.783984375,0.0703125,256
retrieval-rope,final,192,1927,10,0.752734375,0.0390625,256
retrieval-rope,final,256,1785,4,0.697265625,0.015625,256
retrieval-rope,final,384,1904,5,0.74375,0.01953125,256
retrieval-rope,final,512,1754,4,0.68515625,0.015625,256
retrieval-rope,final,768,1755,2,0.685546875,0.0078125,256
retrieval-rope,final,1024,1609,0,0.628515625,0.0,256
retrieval-rope,final,1536,1695,0,0.662109375,0.0,256
retrieval-rope,final,2048,1569,0,0.612890625,0.0,256
retrieval-rope,final,3072,1518,0,0.59296875,0.0,256
retrieval-rope,final,4096,1348,0,0.5265625,0.0,256
retrieval-rope,final,6144,1345,0,0.525390625,0.0,256
retrieval-rope,final,8192,1106,0,0.43203125,0.0,256
compressor-rope,best,1,2560,256,1.0,1.0,256
compressor-rope,best,2,2558,254,0.99921875,0.9921875,256
compressor-rope,best,3,2555,251,0.998046875,0.98046875,256
compressor-rope,best,4,2506,211,0.97890625,0.82421875,256
compressor-rope,best,5,2526,227,0.98671875,0.88671875,256
compressor-rope,best,6,2526,227,0.98671875,0.88671875,256
compressor-rope,best,7,2519,220,0.983984375,0.859375,256
compressor-rope,best,8,2528,227,0.9875,0.88671875,256
compressor-rope,best,9,2550,246,0.99609375,0.9609375,256
compressor-rope,best,10,2551,248,0.996484375,0.96875,256
compressor-rope,best,11,2547,245,0.994921875,0.95703125,256
compressor-rope,best,12,2537,233,0.991015625,0.91015625,256
compressor-rope,best,13,2528,227,0.9875,0.88671875,256
compressor-rope,best,14,2545,244,0.994140625,0.953125,256
compressor-rope,best,16,2457,175,0.959765625,0.68359375,256
compressor-rope,best,24,2405,146,0.939453125,0.5703125,256
compressor-rope,best,32,2308,92,0.9015625,0.359375,256
compressor-rope,best,48,2167,43,0.846484375,0.16796875,256
compressor-rope,best,64,2193,59,0.856640625,0.23046875,256
compressor-rope,best,96,2100,45,0.8203125,0.17578125,256
compressor-rope,best,128,1926,15,0.75234375,0.05859375,256
compressor-rope,best,192,1751,5,0.683984375,0.01953125,256
compressor-rope,best,256,1888,8,0.7375,0.03125,256
compressor-rope,best,384,1844,12,0.7203125,0.046875,256
compressor-rope,best,512,1686,4,0.65859375,0.015625,256
compressor-rope,best,768,1634,2,0.63828125,0.0078125,256
compressor-rope,best,1024,1755,7,0.685546875,0.02734375,256
compressor-rope,best,1536,1685,6,0.658203125,0.0234375,256
compressor-rope,best,2048,1588,0,0.6203125,0.0,256
compressor-rope,best,3072,1438,0,0.56171875,0.0,256
compressor-rope,best,4096,1552,1,0.60625,0.00390625,256
compressor-rope,best,6144,1523,0,0.594921875,0.0,256
compressor-rope,best,8192,1378,0,0.53828125,0.0,256
compressor-rope,final,1,2560,256,1.0,1.0,256
compressor-rope,final,2,2556,253,0.9984375,0.98828125,256
compressor-rope,final,3,2559,255,0.999609375,0.99609375,256
compressor-rope,final,4,2545,243,0.994140625,0.94921875,256
compressor-rope,final,5,2533,232,0.989453125,0.90625,256
compressor-rope,final,6,2517,217,0.983203125,0.84765625,256
compressor-rope,final,7,2486,201,0.97109375,0.78515625,256
compressor-rope,final,8,2486,197,0.97109375,0.76953125,256
compressor-rope,final,9,2528,229,0.9875,0.89453125,256
compressor-rope,final,10,2528,225,0.9875,0.87890625,256
compressor-rope,final,11,2537,236,0.991015625,0.921875,256
compressor-rope,final,12,2529,227,0.987890625,0.88671875,256
compressor-rope,final,13,2518,223,0.98359375,0.87109375,256
compressor-rope,final,14,2513,215,0.981640625,0.83984375,256
compressor-rope,final,16,2461,174,0.961328125,0.6796875,256
compressor-rope,final,24,2331,110,0.910546875,0.4296875,256
