Using checkpoint: model_best
Loading weights:   0%|          | 0/29 [00:00<?, ?it/s]Loading weights: 100%|██████████| 29/29 [00:00<00:00, 6756.74it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/selective-copying/phase2-fixed10-20260908/model_best on 33 horizons (T=1..8192), 256 samples each, device=cuda:0
T=      1 | token 1.0000 | string 1.0000 | 0.5s <= train horizon
T=      2 | token 0.9969 | string 0.9688 | 0.0s <= train horizon
T=      3 | token 0.9812 | string 0.8242 | 0.0s <= train horizon
T=      4 | token 0.9445 | string 0.5859 | 0.0s <= train horizon
T=      5 | token 0.9711 | string 0.7578 | 0.0s <= train horizon
T=      6 | token 0.9594 | string 0.6523 | 0.0s <= train horizon
T=      7 | token 0.9586 | string 0.6875 | 0.0s <= train horizon
T=      8 | token 0.9762 | string 0.8047 | 0.0s <= train horizon
T=      9 | token 0.9855 | string 0.8828 | 0.0s <= train horizon
T=     10 | token 0.9840 | string 0.8672 | 0.0s <= train horizon
T=     11 | token 0.9832 | string 0.8555 | 0.0s <= train horizon
T=     12 | token 0.9820 | string 0.8398 | 0.0s <= train horizon
T=     13 | token 0.9859 | string 0.8750 | 0.0s <= train horizon
T=     14 | token 0.9750 | string 0.7773 | 0.0s <= train horizon
T=     16 | token 0.9437 | string 0.5742 | 0.0s <= train horizon
T=     24 | token 0.9035 | string 0.3789 | 0.0s <= train horizon
T=     32 | token 0.8777 | string 0.2422 | 0.0s <= train horizon
T=     48 | token 0.7898 | string 0.0938 | 0.0s <= train horizon
T=     64 | token 0.7867 | string 0.0938 | 0.0s <= train horizon
T=     96 | token 0.7828 | string 0.0859 | 0.0s <= train horizon
T=    128 | token 0.7348 | string 0.0352 | 0.1s <= train horizon
T=    192 | token 0.7277 | string 0.0312 | 0.1s <= train horizon
T=    256 | token 0.7219 | string 0.0156 | 0.1s <= train horizon
T=    384 | token 0.7594 | string 0.0703 | 0.2s <= train horizon
T=    512 | token 0.6945 | string 0.0156 | 0.3s <= train horizon
T=    768 | token 0.6668 | string 0.0156 | 0.4s <= train horizon
T=   1024 | token 0.6836 | string 0.0156 | 0.6s <= train horizon
T=   1536 | token 0.6875 | string 0.0156 | 0.8s <= train horizon
T=   2048 | token 0.6414 | string 0.0117 | 1.1s
T=   3072 | token 0.6176 | string 0.0039 | 1.6s
T=   4096 | token 0.5863 | string 0.0039 | 2.4s
T=   6144 | token 0.6164 | string 0.0000 | 3.6s
T=   8192 | token 0.5379 | string 0.0078 | 4.8s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/selective-copying/phase2-fixed10-20260908/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/selective-copying/phase2-fixed10-20260908/plot.png
