Using checkpoint: model
Loading weights:   0%|          | 0/29 [00:00<?, ?it/s]Loading weights: 100%|██████████| 29/29 [00:00<00:00, 6545.14it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/selective-copying/phase2-fixed10-20260908/model on 33 horizons (T=1..8192), 256 samples each, device=cuda:0
T=      1 | token 1.0000 | string 1.0000 | 0.6s <= train horizon
T=      2 | token 0.9996 | string 0.9961 | 0.0s <= train horizon
T=      3 | token 0.9816 | string 0.8398 | 0.0s <= train horizon
T=      4 | token 0.9918 | string 0.9258 | 0.0s <= train horizon
T=      5 | token 0.9945 | string 0.9492 | 0.0s <= train horizon
T=      6 | token 0.9707 | string 0.7461 | 0.0s <= train horizon
T=      7 | token 0.9133 | string 0.3594 | 0.0s <= train horizon
T=      8 | token 0.9785 | string 0.8164 | 0.0s <= train horizon
T=      9 | token 0.9809 | string 0.8359 | 0.0s <= train horizon
T=     10 | token 0.9910 | string 0.9219 | 0.0s <= train horizon
T=     11 | token 0.9832 | string 0.8594 | 0.0s <= train horizon
T=     12 | token 0.9434 | string 0.5508 | 0.0s <= train horizon
T=     13 | token 0.8844 | string 0.2812 | 0.0s <= train horizon
T=     14 | token 0.8812 | string 0.2227 | 0.0s <= train horizon
T=     16 | token 0.9437 | string 0.5625 | 0.0s <= train horizon
T=     24 | token 0.9391 | string 0.5508 | 0.0s <= train horizon
T=     32 | token 0.8516 | string 0.2227 | 0.0s <= train horizon
T=     48 | token 0.7781 | string 0.1133 | 0.0s <= train horizon
T=     64 | token 0.8016 | string 0.1211 | 0.0s <= train horizon
T=     96 | token 0.7898 | string 0.0703 | 0.0s <= train horizon
T=    128 | token 0.7480 | string 0.0469 | 0.1s <= train horizon
T=    192 | token 0.7027 | string 0.0312 | 0.1s <= train horizon
T=    256 | token 0.7301 | string 0.0234 | 0.1s <= train horizon
T=    384 | token 0.7277 | string 0.0234 | 0.2s <= train horizon
T=    512 | token 0.6906 | string 0.0195 | 0.3s <= train horizon
T=    768 | token 0.6707 | string 0.0156 | 0.4s <= train horizon
T=   1024 | token 0.6750 | string 0.0039 | 0.5s <= train horizon
T=   1536 | token 0.6789 | string 0.0234 | 0.8s <= train horizon
T=   2048 | token 0.6555 | string 0.0078 | 1.1s
T=   3072 | token 0.6324 | string 0.0117 | 1.6s
T=   4096 | token 0.6152 | string 0.0117 | 2.4s
T=   6144 | token 0.6281 | string 0.0078 | 3.6s
T=   8192 | token 0.5758 | string 0.0039 | 4.8s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/selective-copying/phase2-fixed10-20260908/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/selective-copying/phase2-fixed10-20260908/plot.png
