Using checkpoint: model_best
Loading weights:   0%|          | 0/29 [00:00<?, ?it/s]Loading weights: 100%|██████████| 29/29 [00:00<00:00, 5099.14it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/selective-copying/retrieval-rope-fixed10-20260908/model_best on 33 horizons (T=1..8192), 256 samples each, device=cuda:0
T=      1 | token 1.0000 | string 1.0000 | 0.6s <= train horizon
T=      2 | token 0.9988 | string 0.9883 | 0.0s <= train horizon
T=      3 | token 0.9992 | string 0.9922 | 0.0s <= train horizon
T=      4 | token 0.9941 | string 0.9453 | 0.0s <= train horizon
T=      5 | token 0.9945 | string 0.9492 | 0.0s <= train horizon
T=      6 | token 0.9902 | string 0.9141 | 0.0s <= train horizon
T=      7 | token 0.9871 | string 0.8750 | 0.0s <= train horizon
T=      8 | token 0.9910 | string 0.9297 | 0.0s <= train horizon
T=      9 | token 0.9941 | string 0.9492 | 0.0s <= train horizon
T=     10 | token 0.9930 | string 0.9375 | 0.0s <= train horizon
T=     11 | token 0.9922 | string 0.9336 | 0.0s <= train horizon
T=     12 | token 0.9922 | string 0.9258 | 0.0s <= train horizon
T=     13 | token 0.9887 | string 0.9023 | 0.0s <= train horizon
T=     14 | token 0.9859 | string 0.8828 | 0.0s <= train horizon
T=     16 | token 0.9832 | string 0.8477 | 0.0s <= train horizon
T=     24 | token 0.9648 | string 0.6992 | 0.0s <= train horizon
T=     32 | token 0.9457 | string 0.5898 | 0.0s <= train horizon
T=     48 | token 0.8852 | string 0.2969 | 0.0s <= train horizon
T=     64 | token 0.8629 | string 0.2695 | 0.1s <= train horizon
T=     96 | token 0.8547 | string 0.1836 | 0.1s <= train horizon
T=    128 | token 0.8223 | string 0.1484 | 0.1s <= train horizon
T=    192 | token 0.7969 | string 0.1211 | 0.2s <= train horizon
T=    256 | token 0.7355 | string 0.0508 | 0.3s <= train horizon
T=    384 | token 0.7734 | string 0.0859 | 0.4s <= train horizon
T=    512 | token 0.7328 | string 0.0391 | 0.5s <= train horizon
T=    768 | token 0.7137 | string 0.0391 | 0.7s <= train horizon
T=   1024 | token 0.6895 | string 0.0117 | 1.1s <= train horizon
T=   1536 | token 0.6965 | string 0.0195 | 1.7s <= train horizon
T=   2048 | token 0.6465 | string 0.0117 | 2.3s
T=   3072 | token 0.6188 | string 0.0000 | 3.5s
T=   4096 | token 0.5855 | string 0.0195 | 5.3s
T=   6144 | token 0.6109 | string 0.0078 | 8.2s
T=   8192 | token 0.5352 | string 0.0000 | 10.8s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/selective-copying/retrieval-rope-fixed10-20260908/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-phase2-rope-20260908/exp/selective-copying/retrieval-rope-fixed10-20260908/plot.png
