task,mode,checkpoint,memory_len,T,prefix,n,token_correct,string_correct,token_acc,string_acc,split,elapsed_sec
copying,none,best,10,1,0,256,1458,0,0.56953125,0.0,horizon,0.5677618980407715
copying,none,best,10,2,0,256,1358,1,0.53046875,0.00390625,horizon,0.03812003135681152
copying,none,best,10,3,0,256,1160,0,0.453125,0.0,horizon,0.038465023040771484
copying,none,best,10,4,0,256,1458,0,0.56953125,0.0,horizon,0.03804826736450195
copying,none,best,10,5,0,256,1426,0,0.55703125,0.0,horizon,0.038068532943725586
copying,none,best,10,6,0,256,1202,0,0.46953125,0.0,horizon,0.03756856918334961
copying,none,best,10,7,0,256,1233,0,0.481640625,0.0,horizon,0.03907179832458496
copying,none,best,10,8,0,256,1465,0,0.572265625,0.0,horizon,0.03561806678771973
copying,none,best,10,9,0,256,1337,0,0.522265625,0.0,horizon,0.03727555274963379
copying,none,best,10,10,0,256,1428,0,0.5578125,0.0,horizon,0.038924217224121094
copying,none,best,10,11,0,256,1342,0,0.52421875,0.0,horizon,0.03773188591003418
copying,none,best,10,12,0,256,1421,1,0.555078125,0.00390625,horizon,0.03670907020568848
copying,none,best,10,13,0,256,1557,0,0.608203125,0.0,horizon,0.03769969940185547
copying,none,best,10,14,0,256,1532,0,0.5984375,0.0,horizon,0.03786754608154297
copying,none,best,10,16,0,256,1674,0,0.65390625,0.0,horizon,0.03863644599914551
copying,none,best,10,24,0,256,1554,0,0.60703125,0.0,horizon,0.03707408905029297
copying,none,best,10,32,0,256,1686,1,0.65859375,0.00390625,horizon,0.03946709632873535
copying,none,best,10,48,0,256,1497,0,0.584765625,0.0,horizon,0.047373294830322266
copying,none,best,10,64,0,256,1702,0,0.66484375,0.0,horizon,0.04831266403198242
copying,none,best,10,96,0,256,1684,0,0.6578125,0.0,horizon,0.05061697959899902
copying,none,best,10,128,0,256,1714,0,0.66953125,0.0,horizon,0.05943894386291504
copying,none,best,10,192,0,256,1699,0,0.663671875,0.0,horizon,0.08197641372680664
copying,none,best,10,256,0,256,1649,0,0.644140625,0.0,horizon,0.12378549575805664
copying,none,best,10,384,0,256,1667,0,0.651171875,0.0,horizon,0.18239569664001465
copying,none,best,10,512,0,256,1649,0,0.644140625,0.0,horizon,0.27484679222106934
copying,none,best,10,768,0,256,1635,0,0.638671875,0.0,horizon,0.37876057624816895
copying,none,best,10,1024,0,256,1552,0,0.60625,0.0,horizon,0.5417404174804688
copying,none,best,10,1536,0,256,1554,0,0.60703125,0.0,horizon,0.8255264759063721
copying,none,best,10,2048,0,256,1548,0,0.6046875,0.0,horizon,1.1199369430541992
copying,none,best,10,3072,0,256,1552,0,0.60625,0.0,horizon,1.6793575286865234
copying,none,best,10,4096,0,256,1394,0,0.54453125,0.0,horizon,2.4571378231048584
copying,none,best,10,6144,0,256,1401,0,0.547265625,0.0,horizon,3.6470491886138916
copying,none,best,10,8192,0,256,1386,0,0.54140625,0.0,horizon,4.883944988250732
copying,none,best,10,12288,0,256,1398,0,0.54609375,0.0,horizon,7.293539047241211
copying,none,best,10,16384,0,256,1224,0,0.478125,0.0,horizon,10.001888275146484
copying,none,best,10,24576,0,256,1212,0,0.4734375,0.0,horizon,15.241329193115234
copying,none,best,10,32768,0,256,1233,0,0.481640625,0.0,horizon,20.86534571647644
copying,none,best,10,49152,0,256,1256,0,0.490625,0.0,horizon,31.461849212646484
copying,none,best,10,65536,0,256,1170,0,0.45703125,0.0,horizon,43.05181121826172
copying,none,best,10,98304,0,256,1149,0,0.448828125,0.0,horizon,66.35909652709961
copying,none,best,10,131072,0,256,1161,0,0.453515625,0.0,horizon,167.61833000183105
copying,none,best,16,1,0,256,1521,0,0.371337890625,0.0,horizon,0.03902482986450195
copying,none,best,16,2,0,256,1853,0,0.452392578125,0.0,horizon,0.038085222244262695
copying,none,best,16,3,0,256,1774,0,0.43310546875,0.0,horizon,0.039551496505737305
copying,none,best,16,4,0,256,1829,0,0.446533203125,0.0,horizon,0.03718829154968262
copying,none,best,16,5,0,256,1639,0,0.400146484375,0.0,horizon,0.04108285903930664
copying,none,best,16,6,0,256,1854,0,0.45263671875,0.0,horizon,0.04030752182006836
copying,none,best,16,7,0,256,1967,0,0.480224609375,0.0,horizon,0.04312634468078613
copying,none,best,16,8,0,256,1892,0,0.4619140625,0.0,horizon,0.03842973709106445
copying,none,best,16,9,0,256,1799,0,0.439208984375,0.0,horizon,0.03817629814147949
copying,none,best,16,10,0,256,2045,0,0.499267578125,0.0,horizon,0.03878951072692871
copying,none,best,16,11,0,256,1986,0,0.48486328125,0.0,horizon,0.03976750373840332
copying,none,best,16,12,0,256,1891,0,0.461669921875,0.0,horizon,0.039925336837768555
copying,none,best,16,13,0,256,1676,0,0.4091796875,0.0,horizon,0.038442373275756836
copying,none,best,16,14,0,256,1760,0,0.4296875,0.0,horizon,0.03953099250793457
copying,none,best,16,16,0,256,1792,0,0.4375,0.0,horizon,0.037095069885253906
copying,none,best,16,24,0,256,1920,0,0.46875,0.0,horizon,0.03809690475463867
copying,none,best,16,32,0,256,1810,0,0.44189453125,0.0,horizon,0.04521584510803223
copying,none,best,16,48,0,256,1148,0,0.2802734375,0.0,horizon,0.045862674713134766
copying,none,best,16,64,0,256,1721,0,0.420166015625,0.0,horizon,0.04566383361816406
copying,none,best,16,96,0,256,1814,0,0.44287109375,0.0,horizon,0.05321383476257324
copying,none,best,16,128,0,256,1762,0,0.43017578125,0.0,horizon,0.07826876640319824
copying,none,best,16,192,0,256,1809,0,0.441650390625,0.0,horizon,0.10568761825561523
copying,none,best,16,256,0,256,1632,0,0.3984375,0.0,horizon,0.14029598236083984
copying,none,best,16,384,0,256,1743,0,0.425537109375,0.0,horizon,0.19702696800231934
copying,none,best,16,512,0,256,1668,0,0.4072265625,0.0,horizon,0.25156402587890625
copying,none,best,16,768,0,256,1661,0,0.405517578125,0.0,horizon,0.39026784896850586
copying,none,best,16,1024,0,256,1590,0,0.38818359375,0.0,horizon,0.5566670894622803
copying,none,best,16,1536,0,256,1606,0,0.39208984375,0.0,horizon,0.8454849720001221
copying,none,best,16,2048,0,256,1575,0,0.384521484375,0.0,horizon,1.111680030822754
copying,none,best,16,3072,0,256,1578,0,0.38525390625,0.0,horizon,1.691136121749878
copying,none,best,16,4096,0,256,1582,0,0.38623046875,0.0,horizon,2.483109474182129
copying,none,best,16,6144,0,256,1584,0,0.38671875,0.0,horizon,3.674638032913208
copying,none,best,16,8192,0,256,1555,0,0.379638671875,0.0,horizon,4.913951635360718
copying,none,best,16,12288,0,256,1601,0,0.390869140625,0.0,horizon,7.317490577697754
copying,none,best,16,16384,0,256,1618,0,0.39501953125,0.0,horizon,10.04733395576477
copying,none,best,16,24576,0,256,1596,0,0.3896484375,0.0,horizon,15.294532299041748
copying,none,best,16,32768,0,256,1585,0,0.386962890625,0.0,horizon,20.881922960281372
copying,none,best,16,49152,0,256,1600,0,0.390625,0.0,horizon,31.47787094116211
copying,none,best,16,65536,0,256,1592,0,0.388671875,0.0,horizon,42.97766852378845
copying,none,best,16,98304,0,256,1563,0,0.381591796875,0.0,horizon,66.25269198417664
copying,none,best,16,131072,0,256,1548,0,0.3779296875,0.0,horizon,166.3631145954132
copying,none,best,32,1,0,256,2145,0,0.2618408203125,0.0,horizon,0.048041343688964844
copying,none,best,32,2,0,256,2570,0,0.313720703125,0.0,horizon,0.04907989501953125
copying,none,best,32,3,0,256,2560,0,0.3125,0.0,horizon,0.047846317291259766
copying,none,best,32,4,0,256,2560,0,0.3125,0.0,horizon,0.04748177528381348
copying,none,best,32,5,0,256,2415,0,0.2947998046875,0.0,horizon,0.047913551330566406
copying,none,best,32,6,0,256,2775,0,0.3387451171875,0.0,horizon,0.047850608825683594
copying,none,best,32,7,0,256,2737,0,0.3341064453125,0.0,horizon,0.04849863052368164
copying,none,best,32,8,0,256,2636,0,0.32177734375,0.0,horizon,0.04713034629821777
copying,none,best,32,9,0,256,2632,0,0.3212890625,0.0,horizon,0.0489652156829834
copying,none,best,32,10,0,256,2953,0,0.3604736328125,0.0,horizon,0.04878735542297363
copying,none,best,32,11,0,256,2889,0,0.3526611328125,0.0,horizon,0.050046443939208984
copying,none,best,32,12,0,256,2690,0,0.328369140625,0.0,horizon,0.048558950424194336
copying,none,best,32,13,0,256,2612,0,0.31884765625,0.0,horizon,0.05015707015991211
copying,none,best,32,14,0,256,2510,0,0.306396484375,0.0,horizon,0.04965519905090332
copying,none,best,32,16,0,256,2504,0,0.3056640625,0.0,horizon,0.0486750602722168
copying,none,best,32,24,0,256,2618,0,0.319580078125,0.0,horizon,0.0486600399017334
copying,none,best,32,32,0,256,1910,0,0.233154296875,0.0,horizon,0.04977083206176758
copying,none,best,32,48,0,256,2443,0,0.2982177734375,0.0,horizon,0.05030536651611328
copying,none,best,32,64,0,256,2540,0,0.31005859375,0.0,horizon,0.05482816696166992
copying,none,best,32,96,0,256,2248,0,0.2744140625,0.0,horizon,0.06688165664672852
copying,none,best,32,128,0,256,2584,0,0.3154296875,0.0,horizon,0.08103084564208984
copying,none,best,32,192,0,256,2514,0,0.306884765625,0.0,horizon,0.12335515022277832
copying,none,best,32,256,0,256,2609,0,0.3184814453125,0.0,horizon,0.14831185340881348
copying,none,best,32,384,0,256,2518,0,0.307373046875,0.0,horizon,0.21592974662780762
copying,none,best,32,512,0,256,2592,0,0.31640625,0.0,horizon,0.2777581214904785
copying,none,best,32,768,0,256,2544,0,0.310546875,0.0,horizon,0.3955845832824707
copying,none,best,32,1024,0,256,2547,0,0.3109130859375,0.0,horizon,0.5801029205322266
copying,none,best,32,1536,0,256,2561,0,0.3126220703125,0.0,horizon,0.8617663383483887
copying,none,best,32,2048,0,256,2520,0,0.3076171875,0.0,horizon,1.1319634914398193
copying,none,best,32,3072,0,256,2502,0,0.305419921875,0.0,horizon,1.7046260833740234
copying,none,best,32,4096,0,256,2481,0,0.3028564453125,0.0,horizon,2.5034515857696533
copying,none,best,32,6144,0,256,2517,0,0.3072509765625,0.0,horizon,3.7108728885650635
copying,none,best,32,8192,0,256,2491,0,0.3040771484375,0.0,horizon,4.938070058822632
copying,none,best,32,12288,0,256,2529,0,0.3087158203125,0.0,horizon,7.362111568450928
copying,none,best,32,16384,0,256,2398,0,0.292724609375,0.0,horizon,10.072377920150757
copying,none,best,32,24576,0,256,2384,0,0.291015625,0.0,horizon,15.295888662338257
copying,none,best,32,32768,0,256,2411,0,0.2943115234375,0.0,horizon,20.854340076446533
copying,none,best,32,49152,0,256,2412,0,0.29443359375,0.0,horizon,31.407482862472534
copying,none,best,32,65536,0,256,2196,0,0.26806640625,0.0,horizon,42.92304229736328
copying,none,best,32,98304,0,256,2199,0,0.2684326171875,0.0,horizon,66.22169137001038
copying,none,best,32,131072,0,256,2249,0,0.2745361328125,0.0,horizon,167.76414132118225
copying,none,best,64,1,0,256,3207,0,0.19573974609375,0.0,horizon,0.052405357360839844
copying,none,best,64,2,0,256,4057,0,0.24761962890625,0.0,horizon,0.05894947052001953
copying,none,best,64,3,0,256,3856,0,0.2353515625,0.0,horizon,0.057936668395996094
copying,none,best,64,4,0,256,3905,0,0.23834228515625,0.0,horizon,0.06109952926635742
copying,none,best,64,5,0,256,3803,0,0.23211669921875,0.0,horizon,0.05873918533325195
copying,none,best,64,6,0,256,4040,0,0.24658203125,0.0,horizon,0.05708742141723633
copying,none,best,64,7,0,256,3891,0,0.23748779296875,0.0,horizon,0.05753612518310547
copying,none,best,64,8,0,256,3914,0,0.2388916015625,0.0,horizon,0.05680656433105469
copying,none,best,64,9,0,256,3771,0,0.23016357421875,0.0,horizon,0.05894041061401367
copying,none,best,64,10,0,256,4116,0,0.251220703125,0.0,horizon,0.06017136573791504
copying,none,best,64,11,0,256,3916,0,0.239013671875,0.0,horizon,0.05819058418273926
copying,none,best,64,12,0,256,3787,0,0.23114013671875,0.0,horizon,0.05797243118286133
