name,cohort,seed,T,digit,patch,donor_T,absolute_position,checkpoint,precision,n,string_correct,token_correct,digit_correct,job,baseline_digit_correct,rescued,regressed,mean_margin,next_digit_errors,donor_correct,donor_correct_baseline_wrong,rescued_with_correct_donor
discovery__T49144-d9-baseline,discovery,4321,49144,9,none,,49162,best,bf16,16,9,152,14,best-bf16,14,0,0,3.138916015625,2,,,
discovery__T49145-d9-baseline,discovery,4321,49145,9,none,,49163,best,bf16,16,11,155,16,best-bf16,16,0,0,12.49530029296875,0,,,
discovery__T49146-d9-baseline,discovery,4321,49146,9,none,,49164,best,bf16,16,4,147,16,best-bf16,16,0,0,10.5960693359375,0,,,
discovery__T49147-d9-baseline,discovery,4321,49147,9,none,,49165,best,bf16,16,12,156,16,best-bf16,16,0,0,13.3575439453125,0,,,
discovery__T49148-d9-baseline,discovery,4321,49148,9,none,,49166,best,bf16,16,15,159,16,best-bf16,16,0,0,12.21893310546875,0,,,
discovery__T49149-d9-baseline,discovery,4321,49149,9,none,,49167,best,bf16,16,13,157,16,best-bf16,16,0,0,13.146200180053711,0,,,
discovery__T49150-d9-baseline,discovery,4321,49150,9,none,,49168,best,bf16,16,8,151,16,best-bf16,16,0,0,11.633529663085938,0,,,
discovery__T49151-d10-baseline,discovery,4321,49151,10,none,,49170,best,bf16,16,15,159,16,best-bf16,16,0,0,11.5704345703125,0,,,
discovery__T49152-d9-baseline,discovery,4321,49152,9,none,,49170,best,bf16,16,3,146,3,best-bf16,3,0,0,-2.1164588928222656,13,,,
discovery__T49153-d8-baseline,discovery,4321,49153,8,none,,49170,best,bf16,16,5,149,5,best-bf16,5,0,0,-1.16070556640625,11,,,
discovery__T49154-d9-baseline,discovery,4321,49154,9,none,,49172,best,bf16,16,4,147,16,best-bf16,16,0,0,10.72967529296875,0,,,
discovery__T49155-d9-baseline,discovery,4321,49155,9,none,,49173,best,bf16,16,9,152,16,best-bf16,16,0,0,9.09197998046875,0,,,
discovery__T49156-d9-baseline,discovery,4321,49156,9,none,,49174,best,bf16,16,6,145,11,best-bf16,11,0,0,1.7662353515625,5,,,
discovery__T49157-d9-baseline,discovery,4321,49157,9,none,,49175,best,bf16,16,6,145,16,best-bf16,16,0,0,11.036893844604492,0,,,
discovery__T49158-d9-baseline,discovery,4321,49158,9,none,,49176,best,bf16,16,3,135,16,best-bf16,16,0,0,11.20306396484375,0,,,
discovery__T49159-d9-baseline,discovery,4321,49159,9,none,,49177,best,bf16,16,6,148,16,best-bf16,16,0,0,14.95269775390625,0,,,
discovery__T49160-d9-baseline,discovery,4321,49160,9,none,,49178,best,bf16,16,12,156,14,best-bf16,14,0,0,5.65667724609375,2,,,
discovery__T32768-d9-baseline,discovery,4321,32768,9,none,,32786,best,bf16,16,15,159,16,best-bf16,16,0,0,10.7252197265625,0,,,
discovery__T49152-d9-sham_head8,discovery,4321,49152,9,sham_head8,49152,49170,best,bf16,16,3,146,3,best-bf16,3,0,0,-2.1164588928222656,13,3,0,0
discovery__T49152-d9-head8,discovery,4321,49152,9,head8,32768,49170,best,bf16,16,15,159,16,best-bf16,3,13,0,10.67523193359375,0,16,13,13
discovery__T49152-d9-head1,discovery,4321,49152,9,head1,32768,49170,best,bf16,16,3,146,3,best-bf16,3,0,0,-2.1164588928222656,13,16,13,0
discovery__T49152-d9-l1_block,discovery,4321,49152,9,l1_block,32768,49170,best,bf16,16,15,159,16,best-bf16,3,13,0,10.67523193359375,0,16,13,13
discovery__T49152-d9-sham_phase,discovery,4321,49152,9,sham_phase,49152,49170,best,bf16,16,3,146,3,best-bf16,3,0,0,-2.1164588928222656,13,3,0,0
discovery__T49152-d9-phase,discovery,4321,49152,9,phase,32768,49170,best,bf16,16,15,159,16,best-bf16,3,13,0,10.67523193359375,0,16,13,13
discovery__T49152-d9-mask,discovery,4321,49152,9,mask,32768,49170,best,bf16,16,3,146,3,best-bf16,3,0,0,-2.1164588928222656,13,16,13,0
discovery__T49152-d9-phase_mask,discovery,4321,49152,9,phase_mask,32768,49170,best,bf16,16,15,159,16,best-bf16,3,13,0,10.67523193359375,0,16,13,13
