task,layout,checkpoint,T,token_acc,string_acc,n
copying,overlap,best,1,1.0,1.0,256
copying,overlap,best,2,1.0,1.0,256
copying,overlap,best,3,1.0,1.0,256
copying,overlap,best,4,1.0,1.0,256
copying,overlap,best,5,1.0,1.0,256
copying,overlap,best,6,1.0,1.0,256
copying,overlap,best,7,1.0,1.0,256
copying,overlap,best,8,1.0,1.0,256
copying,overlap,best,9,1.0,1.0,256
copying,overlap,best,10,1.0,1.0,256
copying,overlap,best,11,1.0,1.0,256
copying,overlap,best,12,1.0,1.0,256
copying,overlap,best,13,1.0,1.0,256
copying,overlap,best,14,1.0,1.0,256
copying,overlap,best,16,1.0,1.0,256
copying,overlap,best,24,1.0,1.0,256
copying,overlap,best,32,1.0,1.0,256
copying,overlap,best,48,1.0,1.0,256
copying,overlap,best,64,1.0,1.0,256
copying,overlap,best,96,1.0,1.0,256
copying,overlap,best,128,1.0,1.0,256
copying,overlap,best,192,1.0,1.0,256
copying,overlap,best,256,1.0,1.0,256
copying,overlap,best,384,1.0,1.0,256
copying,overlap,best,512,1.0,1.0,256
copying,overlap,best,768,1.0,1.0,256
copying,overlap,best,1024,1.0,1.0,256
copying,overlap,best,1536,1.0,1.0,256
copying,overlap,best,2048,1.0,1.0,256
copying,overlap,best,3072,1.0,1.0,256
copying,overlap,best,4096,1.0,1.0,256
copying,overlap,best,6144,1.0,1.0,256
copying,overlap,best,8192,1.0,1.0,256
copying,overlap,best,12288,1.0,1.0,256
copying,overlap,best,16384,1.0,1.0,256
copying,overlap,best,24576,1.0,1.0,256
copying,overlap,best,32768,1.0,1.0,256
copying,overlap,best,49152,1.0,1.0,256
copying,overlap,best,65536,1.0,1.0,256
copying,overlap,best,98304,1.0,1.0,256
copying,overlap,best,131072,1.0,1.0,256
copying,overlap,final,1,1.0,1.0,256
copying,overlap,final,2,1.0,1.0,256
copying,overlap,final,3,1.0,1.0,256
copying,overlap,final,4,1.0,1.0,256
copying,overlap,final,5,1.0,1.0,256
copying,overlap,final,6,1.0,1.0,256
copying,overlap,final,7,1.0,1.0,256
copying,overlap,final,8,1.0,1.0,256
copying,overlap,final,9,1.0,1.0,256
copying,overlap,final,10,1.0,1.0,256
copying,overlap,final,11,1.0,1.0,256
copying,overlap,final,12,1.0,1.0,256
copying,overlap,final,13,1.0,1.0,256
