Using checkpoint: model
Loading weights:   0%|          | 0/27 [00:00<?, ?it/s]Loading weights: 100%|██████████| 27/27 [00:00<00:00, 5738.93it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-rope-only-20260909/exp/copying/compressor-rope-no-phase-fixed10-20260909/model on 33 horizons (T=1..8192), 256 samples each, device=cuda:0
T=      1 | token 0.9949 | string 0.9492 | 0.6s <= train horizon
T=      2 | token 0.9941 | string 0.9453 | 0.0s <= train horizon
T=      3 | token 0.9867 | string 0.8828 | 0.0s <= train horizon
T=      4 | token 0.8629 | string 0.0664 | 0.0s <= train horizon
T=      5 | token 0.8477 | string 0.0938 | 0.0s <= train horizon
T=      6 | token 0.8598 | string 0.2344 | 0.0s <= train horizon
T=      7 | token 0.8668 | string 0.1836 | 0.0s <= train horizon
T=      8 | token 0.8543 | string 0.0742 | 0.0s <= train horizon
T=      9 | token 0.5980 | string 0.0000 | 0.0s <= train horizon
T=     10 | token 0.9563 | string 0.6797 | 0.0s <= train horizon
T=     11 | token 0.9266 | string 0.4453 | 0.0s <= train horizon
T=     12 | token 0.9172 | string 0.3320 | 0.0s <= train horizon
T=     13 | token 0.9449 | string 0.5391 | 0.0s <= train horizon
T=     14 | token 0.9613 | string 0.7109 | 0.0s <= train horizon
T=     16 | token 0.9602 | string 0.6602 | 0.0s <= train horizon
T=     24 | token 0.8871 | string 0.1562 | 0.0s <= train horizon
T=     32 | token 0.9484 | string 0.5898 | 0.0s <= train horizon
T=     48 | token 0.7902 | string 0.0273 | 0.0s <= train horizon
T=     64 | token 0.9238 | string 0.4141 | 0.0s <= train horizon
T=     96 | token 0.9285 | string 0.4141 | 0.0s <= train horizon
T=    128 | token 0.9246 | string 0.3789 | 0.1s <= train horizon
T=    192 | token 0.9344 | string 0.4531 | 0.1s <= train horizon
T=    256 | token 0.7574 | string 0.0234 | 0.1s <= train horizon
T=    384 | token 0.7449 | string 0.0195 | 0.2s <= train horizon
T=    512 | token 0.7590 | string 0.0117 | 0.3s <= train horizon
T=    768 | token 0.7617 | string 0.0156 | 0.4s <= train horizon
T=   1024 | token 0.6719 | string 0.0078 | 0.6s <= train horizon
T=   1536 | token 0.6836 | string 0.0039 | 0.9s <= train horizon
T=   2048 | token 0.6711 | string 0.0000 | 1.2s
T=   3072 | token 0.6664 | string 0.0039 | 1.7s
T=   4096 | token 0.5527 | string 0.0000 | 2.6s
T=   6144 | token 0.5465 | string 0.0000 | 3.9s
T=   8192 | token 0.5555 | string 0.0000 | 5.1s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-rope-only-20260909/exp/copying/compressor-rope-no-phase-fixed10-20260909/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-rope-only-20260909/exp/copying/compressor-rope-no-phase-fixed10-20260909/plot.png
