mode,checkpoint,T,token_correct,string_correct,token_acc,string_acc,n
retrieval-rope,best,1,2558,255,0.99921875,0.99609375,256
retrieval-rope,best,2,2559,255,0.999609375,0.99609375,256
retrieval-rope,best,3,2559,255,0.999609375,0.99609375,256
retrieval-rope,best,4,2559,255,0.999609375,0.99609375,256
retrieval-rope,best,5,2559,255,0.999609375,0.99609375,256
retrieval-rope,best,6,2553,252,0.997265625,0.984375,256
retrieval-rope,best,7,2559,255,0.999609375,0.99609375,256
retrieval-rope,best,8,2560,256,1.0,1.0,256
retrieval-rope,best,9,2559,255,0.999609375,0.99609375,256
retrieval-rope,best,10,2560,256,1.0,1.0,256
retrieval-rope,best,11,2558,255,0.99921875,0.99609375,256
retrieval-rope,best,12,2558,254,0.99921875,0.9921875,256
retrieval-rope,best,13,2560,256,1.0,1.0,256
retrieval-rope,best,14,2560,256,1.0,1.0,256
retrieval-rope,best,16,2560,256,1.0,1.0,256
retrieval-rope,best,24,2560,256,1.0,1.0,256
retrieval-rope,best,32,2560,256,1.0,1.0,256
retrieval-rope,best,48,2560,256,1.0,1.0,256
retrieval-rope,best,64,2559,255,0.999609375,0.99609375,256
retrieval-rope,best,96,2560,256,1.0,1.0,256
retrieval-rope,best,128,2560,256,1.0,1.0,256
retrieval-rope,best,192,2558,254,0.99921875,0.9921875,256
retrieval-rope,best,256,2557,253,0.998828125,0.98828125,256
retrieval-rope,best,384,2558,254,0.99921875,0.9921875,256
retrieval-rope,best,512,2557,253,0.998828125,0.98828125,256
retrieval-rope,best,768,2558,254,0.99921875,0.9921875,256
retrieval-rope,best,1024,2560,256,1.0,1.0,256
retrieval-rope,best,1536,2559,255,0.999609375,0.99609375,256
retrieval-rope,best,2048,2556,252,0.9984375,0.984375,256
retrieval-rope,best,3072,2558,254,0.99921875,0.9921875,256
retrieval-rope,best,4096,2558,254,0.99921875,0.9921875,256
retrieval-rope,best,6144,2560,256,1.0,1.0,256
retrieval-rope,best,8192,2558,254,0.99921875,0.9921875,256
retrieval-rope,final,1,2551,247,0.996484375,0.96484375,256
retrieval-rope,final,2,2519,220,0.983984375,0.859375,256
retrieval-rope,final,3,2089,10,0.816015625,0.0390625,256
retrieval-rope,final,4,2557,254,0.998828125,0.9921875,256
retrieval-rope,final,5,2518,217,0.98359375,0.84765625,256
retrieval-rope,final,6,2514,210,0.98203125,0.8203125,256
retrieval-rope,final,7,2410,120,0.94140625,0.46875,256
retrieval-rope,final,8,2559,255,0.999609375,0.99609375,256
retrieval-rope,final,9,2478,175,0.96796875,0.68359375,256
retrieval-rope,final,10,2537,234,0.991015625,0.9140625,256
retrieval-rope,final,11,2549,245,0.995703125,0.95703125,256
retrieval-rope,final,12,2555,252,0.998046875,0.984375,256
retrieval-rope,final,13,2490,188,0.97265625,0.734375,256
retrieval-rope,final,14,2547,243,0.994921875,0.94921875,256
retrieval-rope,final,16,2551,249,0.996484375,0.97265625,256
retrieval-rope,final,24,2560,256,1.0,1.0,256
retrieval-rope,final,32,2549,245,0.995703125,0.95703125,256
retrieval-rope,final,48,2553,249,0.997265625,0.97265625,256
retrieval-rope,final,64,2546,243,0.99453125,0.94921875,256
retrieval-rope,final,96,2554,250,0.99765625,0.9765625,256
retrieval-rope,final,128,2554,250,0.99765625,0.9765625,256
retrieval-rope,final,192,2558,254,0.99921875,0.9921875,256
retrieval-rope,final,256,2552,248,0.996875,0.96875,256
retrieval-rope,final,384,2544,241,0.99375,0.94140625,256
retrieval-rope,final,512,2551,248,0.996484375,0.96875,256
retrieval-rope,final,768,2554,250,0.99765625,0.9765625,256
retrieval-rope,final,1024,2555,251,0.998046875,0.98046875,256
retrieval-rope,final,1536,2551,247,0.996484375,0.96484375,256
retrieval-rope,final,2048,2556,252,0.9984375,0.984375,256
retrieval-rope,final,3072,2553,249,0.997265625,0.97265625,256
retrieval-rope,final,4096,2550,246,0.99609375,0.9609375,256
retrieval-rope,final,6144,2555,251,0.998046875,0.98046875,256
retrieval-rope,final,8192,2554,250,0.99765625,0.9765625,256
compressor-rope,best,1,2559,255,0.999609375,0.99609375,256
compressor-rope,best,2,2541,238,0.992578125,0.9296875,256
compressor-rope,best,3,2531,230,0.988671875,0.8984375,256
compressor-rope,best,4,2355,87,0.919921875,0.33984375,256
