phase_emb,mode,checkpoint,T,token_acc,string_acc,n
True,retrieval-rope,best,1,1.0,1.0,256
True,retrieval-rope,best,2,1.0,1.0,256
True,retrieval-rope,best,3,1.0,1.0,256
True,retrieval-rope,best,4,1.0,1.0,256
True,retrieval-rope,best,5,1.0,1.0,256
True,retrieval-rope,best,6,1.0,1.0,256
True,retrieval-rope,best,7,1.0,1.0,256
True,retrieval-rope,best,8,1.0,1.0,256
True,retrieval-rope,best,9,1.0,1.0,256
True,retrieval-rope,best,10,1.0,1.0,256
True,retrieval-rope,best,11,1.0,1.0,256
True,retrieval-rope,best,12,1.0,1.0,256
True,retrieval-rope,best,13,1.0,1.0,256
True,retrieval-rope,best,14,1.0,1.0,256
True,retrieval-rope,best,16,1.0,1.0,256
True,retrieval-rope,best,24,1.0,1.0,256
True,retrieval-rope,best,32,1.0,1.0,256
True,retrieval-rope,best,48,1.0,1.0,256
True,retrieval-rope,best,64,1.0,1.0,256
True,retrieval-rope,best,96,1.0,1.0,256
True,retrieval-rope,best,128,1.0,1.0,256
True,retrieval-rope,best,192,1.0,1.0,256
True,retrieval-rope,best,256,1.0,1.0,256
True,retrieval-rope,best,384,1.0,1.0,256
True,retrieval-rope,best,512,1.0,1.0,256
True,retrieval-rope,best,768,1.0,1.0,256
True,retrieval-rope,best,1024,1.0,1.0,256
True,retrieval-rope,best,1536,1.0,1.0,256
True,retrieval-rope,best,2048,1.0,1.0,256
True,retrieval-rope,best,3072,1.0,1.0,256
True,retrieval-rope,best,4096,1.0,1.0,256
True,retrieval-rope,best,6144,1.0,1.0,256
True,retrieval-rope,best,8192,1.0,1.0,256
False,retrieval-rope,best,1,0.99921875,0.99609375,256
False,retrieval-rope,best,2,0.999609375,0.99609375,256
False,retrieval-rope,best,3,0.999609375,0.99609375,256
False,retrieval-rope,best,4,0.999609375,0.99609375,256
False,retrieval-rope,best,5,0.999609375,0.99609375,256
False,retrieval-rope,best,6,0.997265625,0.984375,256
False,retrieval-rope,best,7,0.999609375,0.99609375,256
False,retrieval-rope,best,8,1.0,1.0,256
False,retrieval-rope,best,9,0.999609375,0.99609375,256
False,retrieval-rope,best,10,1.0,1.0,256
False,retrieval-rope,best,11,0.99921875,0.99609375,256
False,retrieval-rope,best,12,0.99921875,0.9921875,256
False,retrieval-rope,best,13,1.0,1.0,256
False,retrieval-rope,best,14,1.0,1.0,256
False,retrieval-rope,best,16,1.0,1.0,256
False,retrieval-rope,best,24,1.0,1.0,256
False,retrieval-rope,best,32,1.0,1.0,256
False,retrieval-rope,best,48,1.0,1.0,256
False,retrieval-rope,best,64,0.999609375,0.99609375,256
False,retrieval-rope,best,96,1.0,1.0,256
False,retrieval-rope,best,128,1.0,1.0,256
False,retrieval-rope,best,192,0.99921875,0.9921875,256
False,retrieval-rope,best,256,0.998828125,0.98828125,256
False,retrieval-rope,best,384,0.99921875,0.9921875,256
False,retrieval-rope,best,512,0.998828125,0.98828125,256
False,retrieval-rope,best,768,0.99921875,0.9921875,256
False,retrieval-rope,best,1024,1.0,1.0,256
False,retrieval-rope,best,1536,0.999609375,0.99609375,256
