Using checkpoint: model_best
Loading weights:   0%|          | 0/27 [00:00<?, ?it/s]Loading weights: 100%|██████████| 27/27 [00:00<00:00, 6463.09it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-rope-only-20260909/exp/copying/retrieval-rope-no-phase-fixed10-20260909/model_best on 33 horizons (T=1..8192), 256 samples each, device=cuda:0
T=      1 | token 0.9992 | string 0.9961 | 0.6s <= train horizon
T=      2 | token 0.9996 | string 0.9961 | 0.0s <= train horizon
T=      3 | token 0.9996 | string 0.9961 | 0.0s <= train horizon
T=      4 | token 0.9996 | string 0.9961 | 0.0s <= train horizon
T=      5 | token 0.9996 | string 0.9961 | 0.0s <= train horizon
T=      6 | token 0.9973 | string 0.9844 | 0.0s <= train horizon
T=      7 | token 0.9996 | string 0.9961 | 0.0s <= train horizon
T=      8 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=      9 | token 0.9996 | string 0.9961 | 0.0s <= train horizon
T=     10 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     11 | token 0.9992 | string 0.9961 | 0.0s <= train horizon
T=     12 | token 0.9992 | string 0.9922 | 0.0s <= train horizon
T=     13 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     14 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     16 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     24 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     32 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     48 | token 1.0000 | string 1.0000 | 0.0s <= train horizon
T=     64 | token 0.9996 | string 0.9961 | 0.1s <= train horizon
T=     96 | token 1.0000 | string 1.0000 | 0.1s <= train horizon
T=    128 | token 1.0000 | string 1.0000 | 0.1s <= train horizon
T=    192 | token 0.9992 | string 0.9922 | 0.2s <= train horizon
T=    256 | token 0.9988 | string 0.9883 | 0.3s <= train horizon
T=    384 | token 0.9992 | string 0.9922 | 0.4s <= train horizon
T=    512 | token 0.9988 | string 0.9883 | 0.5s <= train horizon
T=    768 | token 0.9992 | string 0.9922 | 0.7s <= train horizon
T=   1024 | token 1.0000 | string 1.0000 | 1.1s <= train horizon
T=   1536 | token 0.9996 | string 0.9961 | 1.7s <= train horizon
T=   2048 | token 0.9984 | string 0.9844 | 2.2s
T=   3072 | token 0.9992 | string 0.9922 | 3.4s
T=   4096 | token 0.9992 | string 0.9922 | 5.2s
T=   6144 | token 1.0000 | string 1.0000 | 7.9s
T=   8192 | token 0.9992 | string 0.9922 | 10.5s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-rope-only-20260909/exp/copying/retrieval-rope-no-phase-fixed10-20260909/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-rope-only-20260909/exp/copying/retrieval-rope-no-phase-fixed10-20260909/plot.png
