mode,checkpoint,T,token_correct,string_correct,token_acc,string_acc,n
retrieval-rope,best,1,2559,255,0.999609375,0.99609375,256
retrieval-rope,best,2,2543,240,0.993359375,0.9375,256
retrieval-rope,best,3,2513,218,0.981640625,0.8515625,256
retrieval-rope,best,4,2455,173,0.958984375,0.67578125,256
retrieval-rope,best,5,2485,199,0.970703125,0.77734375,256
retrieval-rope,best,6,2421,154,0.945703125,0.6015625,256
retrieval-rope,best,7,2373,133,0.926953125,0.51953125,256
retrieval-rope,best,8,2384,145,0.93125,0.56640625,256
retrieval-rope,best,9,2441,167,0.953515625,0.65234375,256
retrieval-rope,best,10,2452,180,0.9578125,0.703125,256
retrieval-rope,best,11,2407,145,0.940234375,0.56640625,256
retrieval-rope,best,12,2437,162,0.951953125,0.6328125,256
retrieval-rope,best,13,2445,167,0.955078125,0.65234375,256
retrieval-rope,best,14,2433,163,0.950390625,0.63671875,256
retrieval-rope,best,16,2403,147,0.938671875,0.57421875,256
retrieval-rope,best,24,2368,120,0.925,0.46875,256
retrieval-rope,best,32,2332,111,0.9109375,0.43359375,256
retrieval-rope,best,48,2128,42,0.83125,0.1640625,256
retrieval-rope,best,64,2165,53,0.845703125,0.20703125,256
retrieval-rope,best,96,2091,28,0.816796875,0.109375,256
retrieval-rope,best,128,2130,42,0.83203125,0.1640625,256
retrieval-rope,best,192,2027,17,0.791796875,0.06640625,256
retrieval-rope,best,256,1949,18,0.761328125,0.0703125,256
retrieval-rope,best,384,1967,14,0.768359375,0.0546875,256
retrieval-rope,best,512,1915,15,0.748046875,0.05859375,256
retrieval-rope,best,768,1816,6,0.709375,0.0234375,256
retrieval-rope,best,1024,1797,5,0.701953125,0.01953125,256
retrieval-rope,best,1536,1732,4,0.6765625,0.015625,256
retrieval-rope,best,2048,1681,2,0.656640625,0.0078125,256
retrieval-rope,best,3072,1608,4,0.628125,0.015625,256
retrieval-rope,best,4096,1455,0,0.568359375,0.0,256
retrieval-rope,best,6144,1476,1,0.5765625,0.00390625,256
