phase_emb,mode,checkpoint,T,token_acc,string_acc,n
True,retrieval-rope,best,1,1.0,1.0,256
True,retrieval-rope,best,2,0.998828125,0.98828125,256
True,retrieval-rope,best,3,0.99921875,0.9921875,256
True,retrieval-rope,best,4,0.994140625,0.9453125,256
True,retrieval-rope,best,5,0.99453125,0.94921875,256
True,retrieval-rope,best,6,0.990234375,0.9140625,256
True,retrieval-rope,best,7,0.987109375,0.875,256
True,retrieval-rope,best,8,0.991015625,0.9296875,256
True,retrieval-rope,best,9,0.994140625,0.94921875,256
True,retrieval-rope,best,10,0.99296875,0.9375,256
True,retrieval-rope,best,11,0.9921875,0.93359375,256
True,retrieval-rope,best,12,0.9921875,0.92578125,256
True,retrieval-rope,best,13,0.988671875,0.90234375,256
True,retrieval-rope,best,14,0.9859375,0.8828125,256
True,retrieval-rope,best,16,0.983203125,0.84765625,256
True,retrieval-rope,best,24,0.96484375,0.69921875,256
True,retrieval-rope,best,32,0.945703125,0.58984375,256
True,retrieval-rope,best,48,0.88515625,0.296875,256
True,retrieval-rope,best,64,0.862890625,0.26953125,256
True,retrieval-rope,best,96,0.8546875,0.18359375,256
True,retrieval-rope,best,128,0.822265625,0.1484375,256
True,retrieval-rope,best,192,0.796875,0.12109375,256
True,retrieval-rope,best,256,0.735546875,0.05078125,256
True,retrieval-rope,best,384,0.7734375,0.0859375,256
True,retrieval-rope,best,512,0.7328125,0.0390625,256
True,retrieval-rope,best,768,0.713671875,0.0390625,256
True,retrieval-rope,best,1024,0.689453125,0.01171875,256
True,retrieval-rope,best,1536,0.696484375,0.01953125,256
True,retrieval-rope,best,2048,0.646484375,0.01171875,256
True,retrieval-rope,best,3072,0.61875,0.0,256
True,retrieval-rope,best,4096,0.585546875,0.01953125,256
True,retrieval-rope,best,6144,0.6109375,0.0078125,256
True,retrieval-rope,best,8192,0.53515625,0.0,256
False,retrieval-rope,best,1,0.999609375,0.99609375,256
False,retrieval-rope,best,2,0.993359375,0.9375,256
False,retrieval-rope,best,3,0.981640625,0.8515625,256
False,retrieval-rope,best,4,0.958984375,0.67578125,256
False,retrieval-rope,best,5,0.970703125,0.77734375,256
False,retrieval-rope,best,6,0.945703125,0.6015625,256
False,retrieval-rope,best,7,0.926953125,0.51953125,256
False,retrieval-rope,best,8,0.93125,0.56640625,256
False,retrieval-rope,best,9,0.953515625,0.65234375,256
False,retrieval-rope,best,10,0.9578125,0.703125,256
False,retrieval-rope,best,11,0.940234375,0.56640625,256
False,retrieval-rope,best,12,0.951953125,0.6328125,256
False,retrieval-rope,best,13,0.955078125,0.65234375,256
False,retrieval-rope,best,14,0.950390625,0.63671875,256
False,retrieval-rope,best,16,0.938671875,0.57421875,256
