Using checkpoint: model_best
Loading weights:   0%|          | 0/27 [00:00<?, ?it/s]Loading weights: 100%|██████████| 27/27 [00:00<00:00, 6926.37it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-rope-only-20260909/exp/selective-copying/retrieval-rope-no-phase-fixed10-20260909/model_best on 33 horizons (T=1..8192), 256 samples each, device=cuda:0
T=      1 | token 0.9996 | string 0.9961 | 0.6s <= train horizon
T=      2 | token 0.9934 | string 0.9375 | 0.0s <= train horizon
T=      3 | token 0.9816 | string 0.8516 | 0.0s <= train horizon
T=      4 | token 0.9590 | string 0.6758 | 0.0s <= train horizon
T=      5 | token 0.9707 | string 0.7773 | 0.0s <= train horizon
T=      6 | token 0.9457 | string 0.6016 | 0.0s <= train horizon
T=      7 | token 0.9270 | string 0.5195 | 0.0s <= train horizon
T=      8 | token 0.9313 | string 0.5664 | 0.0s <= train horizon
T=      9 | token 0.9535 | string 0.6523 | 0.0s <= train horizon
T=     10 | token 0.9578 | string 0.7031 | 0.0s <= train horizon
T=     11 | token 0.9402 | string 0.5664 | 0.0s <= train horizon
T=     12 | token 0.9520 | string 0.6328 | 0.0s <= train horizon
T=     13 | token 0.9551 | string 0.6523 | 0.0s <= train horizon
T=     14 | token 0.9504 | string 0.6367 | 0.0s <= train horizon
T=     16 | token 0.9387 | string 0.5742 | 0.0s <= train horizon
T=     24 | token 0.9250 | string 0.4688 | 0.0s <= train horizon
T=     32 | token 0.9109 | string 0.4336 | 0.0s <= train horizon
T=     48 | token 0.8313 | string 0.1641 | 0.0s <= train horizon
T=     64 | token 0.8457 | string 0.2070 | 0.1s <= train horizon
T=     96 | token 0.8168 | string 0.1094 | 0.1s <= train horizon
T=    128 | token 0.8320 | string 0.1641 | 0.1s <= train horizon
T=    192 | token 0.7918 | string 0.0664 | 0.2s <= train horizon
T=    256 | token 0.7613 | string 0.0703 | 0.3s <= train horizon
T=    384 | token 0.7684 | string 0.0547 | 0.4s <= train horizon
T=    512 | token 0.7480 | string 0.0586 | 0.5s <= train horizon
T=    768 | token 0.7094 | string 0.0234 | 0.7s <= train horizon
T=   1024 | token 0.7020 | string 0.0195 | 1.1s <= train horizon
T=   1536 | token 0.6766 | string 0.0156 | 1.7s <= train horizon
T=   2048 | token 0.6566 | string 0.0078 | 2.2s
T=   3072 | token 0.6281 | string 0.0156 | 3.4s
T=   4096 | token 0.5684 | string 0.0000 | 5.2s
T=   6144 | token 0.5766 | string 0.0039 | 7.9s
T=   8192 | token 0.4969 | string 0.0000 | 10.6s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-rope-only-20260909/exp/selective-copying/retrieval-rope-no-phase-fixed10-20260909/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-rope-only-20260909/exp/selective-copying/retrieval-rope-no-phase-fixed10-20260909/plot.png
