Using checkpoint: model
Loading weights:   0%|          | 0/27 [00:00<?, ?it/s]Loading weights: 100%|██████████| 27/27 [00:00<00:00, 5734.57it/s]
Evaluating /mnt/raid0/RecursiveCompressor/experiments/logkv-rope-only-20260909/exp/selective-copying/retrieval-rope-no-phase-fixed10-20260909/model on 33 horizons (T=1..8192), 256 samples each, device=cuda:0
T=      1 | token 0.9996 | string 0.9961 | 0.6s <= train horizon
T=      2 | token 0.9934 | string 0.9492 | 0.0s <= train horizon
T=      3 | token 0.9844 | string 0.8789 | 0.0s <= train horizon
T=      4 | token 0.9699 | string 0.7578 | 0.0s <= train horizon
T=      5 | token 0.9641 | string 0.7656 | 0.0s <= train horizon
T=      6 | token 0.9355 | string 0.5625 | 0.0s <= train horizon
T=      7 | token 0.9168 | string 0.5039 | 0.0s <= train horizon
T=      8 | token 0.9066 | string 0.3984 | 0.0s <= train horizon
T=      9 | token 0.9344 | string 0.5273 | 0.0s <= train horizon
T=     10 | token 0.9375 | string 0.5664 | 0.0s <= train horizon
T=     11 | token 0.9129 | string 0.4727 | 0.0s <= train horizon
T=     12 | token 0.9363 | string 0.5078 | 0.0s <= train horizon
T=     13 | token 0.9379 | string 0.5547 | 0.0s <= train horizon
T=     14 | token 0.9391 | string 0.5273 | 0.0s <= train horizon
T=     16 | token 0.9367 | string 0.5625 | 0.0s <= train horizon
T=     24 | token 0.8922 | string 0.3086 | 0.0s <= train horizon
T=     32 | token 0.9047 | string 0.3828 | 0.0s <= train horizon
T=     48 | token 0.8242 | string 0.1641 | 0.0s <= train horizon
T=     64 | token 0.8125 | string 0.1211 | 0.1s <= train horizon
T=     96 | token 0.7723 | string 0.0820 | 0.1s <= train horizon
T=    128 | token 0.7805 | string 0.0547 | 0.1s <= train horizon
T=    192 | token 0.7840 | string 0.0508 | 0.2s <= train horizon
T=    256 | token 0.7535 | string 0.0430 | 0.3s <= train horizon
T=    384 | token 0.7309 | string 0.0195 | 0.4s <= train horizon
T=    512 | token 0.7324 | string 0.0234 | 0.5s <= train horizon
T=    768 | token 0.6902 | string 0.0195 | 0.7s <= train horizon
T=   1024 | token 0.7094 | string 0.0195 | 1.1s <= train horizon
T=   1536 | token 0.6820 | string 0.0117 | 1.7s <= train horizon
T=   2048 | token 0.6680 | string 0.0078 | 2.3s
T=   3072 | token 0.6090 | string 0.0117 | 3.4s
T=   4096 | token 0.5723 | string 0.0000 | 5.2s
T=   6144 | token 0.5594 | string 0.0000 | 7.9s
T=   8192 | token 0.4945 | string 0.0000 | 10.6s
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-rope-only-20260909/exp/selective-copying/retrieval-rope-no-phase-fixed10-20260909/results.json
Saved /mnt/raid0/RecursiveCompressor/experiments/logkv-rope-only-20260909/exp/selective-copying/retrieval-rope-no-phase-fixed10-20260909/plot.png
