mode,alpha,checkpoint,evaluation,T,n,token_correct,string_correct,token_acc,string_acc,digit_errors
alpha-1,1.0,best,standard,1,256,2558,255,0.99921875,0.99609375,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
alpha-1,1.0,best,standard,2,256,2555,251,0.998046875,0.98046875,"[0, 0, 2, 0, 0, 0, 2, 0, 1, 0]"
alpha-1,1.0,best,standard,3,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,standard,4,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,standard,5,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,standard,6,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,standard,7,256,2559,255,0.999609375,0.99609375,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,standard,8,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,standard,9,256,2558,254,0.99921875,0.9921875,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,standard,10,256,2558,254,0.99921875,0.9921875,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,standard,11,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
alpha-1,1.0,best,standard,12,256,2558,254,0.99921875,0.9921875,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,standard,13,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,standard,14,256,2559,255,0.999609375,0.99609375,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,standard,16,256,2356,52,0.9203125,0.203125,"[0, 0, 0, 0, 0, 0, 0, 0, 204, 0]"
alpha-1,1.0,best,standard,24,256,2559,255,0.999609375,0.99609375,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,standard,32,256,2350,47,0.91796875,0.18359375,"[0, 0, 0, 0, 1, 0, 0, 0, 209, 0]"
alpha-1,1.0,best,standard,48,256,2384,80,0.93125,0.3125,"[0, 0, 0, 0, 0, 0, 0, 0, 176, 0]"
alpha-1,1.0,best,standard,64,256,2332,28,0.9109375,0.109375,"[0, 0, 0, 0, 0, 0, 0, 0, 228, 0]"
alpha-1,1.0,best,standard,96,256,2411,107,0.941796875,0.41796875,"[0, 0, 1, 0, 0, 0, 0, 1, 147, 0]"
alpha-1,1.0,best,standard,128,256,2344,40,0.915625,0.15625,"[0, 0, 0, 0, 0, 0, 0, 0, 216, 0]"
alpha-1,1.0,best,standard,192,256,2353,50,0.919140625,0.1953125,"[0, 0, 0, 0, 0, 0, 1, 1, 205, 0]"
alpha-1,1.0,best,standard,256,256,2344,40,0.915625,0.15625,"[0, 0, 0, 0, 0, 0, 0, 1, 215, 0]"
alpha-1,1.0,best,standard,384,256,2342,38,0.91484375,0.1484375,"[0, 0, 0, 0, 0, 0, 0, 0, 218, 0]"
alpha-1,1.0,best,standard,512,256,2342,38,0.91484375,0.1484375,"[0, 0, 0, 0, 0, 0, 0, 0, 218, 0]"
alpha-1,1.0,best,standard,768,256,2336,32,0.9125,0.125,"[0, 0, 0, 0, 0, 0, 0, 0, 224, 0]"
alpha-1,1.0,best,standard,1024,256,2339,37,0.913671875,0.14453125,"[0, 0, 0, 0, 0, 1, 0, 1, 219, 0]"
alpha-1,1.0,best,standard,1536,256,2335,32,0.912109375,0.125,"[0, 0, 0, 0, 1, 0, 0, 0, 224, 0]"
alpha-1,1.0,best,standard,2048,256,2341,38,0.914453125,0.1484375,"[0, 0, 0, 0, 1, 0, 0, 0, 218, 0]"
alpha-1,1.0,best,standard,3072,256,2312,21,0.903125,0.08203125,"[0, 0, 1, 0, 0, 0, 1, 15, 231, 0]"
alpha-1,1.0,best,standard,4096,256,2328,29,0.909375,0.11328125,"[0, 0, 1, 0, 0, 0, 1, 3, 227, 0]"
alpha-1,1.0,best,standard,6144,256,2330,26,0.91015625,0.1015625,"[0, 0, 0, 0, 0, 0, 0, 0, 230, 0]"
alpha-1,1.0,best,standard,8192,256,2332,31,0.9109375,0.12109375,"[0, 0, 1, 0, 0, 0, 0, 2, 225, 0]"
alpha-1,1.0,best,standard,12288,256,2336,35,0.9125,0.13671875,"[0, 0, 1, 0, 0, 0, 1, 3, 219, 0]"
alpha-1,1.0,best,standard,16384,256,2317,29,0.905078125,0.11328125,"[0, 0, 0, 0, 0, 0, 0, 19, 223, 1]"
alpha-1,1.0,best,standard,24576,256,2327,28,0.908984375,0.109375,"[0, 0, 0, 0, 0, 0, 1, 4, 228, 0]"
alpha-1,1.0,best,standard,32768,256,2316,31,0.9046875,0.12109375,"[0, 0, 1, 0, 0, 0, 0, 19, 224, 0]"
alpha-1,1.0,best,standard,49152,256,2321,31,0.906640625,0.12109375,"[0, 0, 0, 1, 0, 0, 1, 14, 223, 0]"
alpha-1,1.0,best,standard,65536,256,2317,26,0.905078125,0.1015625,"[0, 0, 0, 0, 0, 0, 0, 16, 227, 0]"
alpha-1,1.0,best,standard,98304,256,2322,26,0.90703125,0.1015625,"[0, 0, 0, 0, 0, 0, 0, 11, 227, 0]"
alpha-1,1.0,best,standard,131072,256,2324,31,0.9078125,0.12109375,"[0, 0, 1, 0, 0, 0, 0, 11, 224, 0]"
alpha-1,1.0,best,paired,3,32,320,32,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,paired,16,32,297,9,0.928125,0.28125,"[0, 0, 0, 0, 0, 0, 0, 0, 23, 0]"
alpha-1,1.0,best,paired,8192,32,293,6,0.915625,0.1875,"[0, 0, 0, 0, 0, 0, 0, 1, 26, 0]"
alpha-1,1.0,best,paired,16383,32,319,31,0.996875,0.96875,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,paired,16384,32,290,6,0.90625,0.1875,"[0, 0, 0, 0, 0, 0, 0, 4, 26, 0]"
alpha-1,1.0,best,paired,16385,32,266,2,0.83125,0.0625,"[0, 0, 0, 0, 0, 0, 0, 28, 26, 0]"
alpha-1,1.0,best,paired,32767,32,319,31,0.996875,0.96875,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
alpha-1,1.0,best,paired,32768,32,290,6,0.90625,0.1875,"[0, 0, 0, 0, 0, 0, 0, 4, 26, 0]"
alpha-1,1.0,best,paired,32769,32,266,2,0.83125,0.0625,"[0, 0, 0, 0, 0, 0, 0, 28, 26, 0]"
alpha-1,1.0,best,paired,49144,32,243,0,0.759375,0.0,"[0, 0, 0, 0, 26, 0, 1, 0, 27, 23]"
alpha-1,1.0,best,paired,49145,32,224,0,0.7,0.0,"[0, 0, 0, 28, 0, 29, 9, 30, 0, 0]"
alpha-1,1.0,best,paired,49146,32,206,0,0.64375,0.0,"[0, 0, 26, 0, 26, 6, 30, 0, 26, 0]"
alpha-1,1.0,best,paired,49147,32,264,1,0.825,0.03125,"[0, 27, 0, 0, 0, 29, 0, 0, 0, 0]"
alpha-1,1.0,best,paired,49148,32,292,6,0.9125,0.1875,"[0, 0, 0, 0, 26, 0, 0, 2, 0, 0]"
alpha-1,1.0,best,paired,49149,32,263,0,0.821875,0.0,"[0, 0, 0, 28, 0, 29, 0, 0, 0, 0]"
alpha-1,1.0,best,paired,49150,32,269,2,0.840625,0.0625,"[0, 0, 26, 0, 25, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,paired,49151,32,308,20,0.9625,0.625,"[0, 12, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,paired,49152,32,290,6,0.90625,0.1875,"[0, 0, 0, 0, 0, 0, 0, 4, 26, 0]"
alpha-1,1.0,best,paired,49153,32,266,2,0.83125,0.0625,"[0, 0, 0, 0, 0, 0, 0, 28, 26, 0]"
alpha-1,1.0,best,paired,49154,32,265,0,0.828125,0.0,"[0, 0, 0, 0, 0, 0, 30, 25, 0, 0]"
alpha-1,1.0,best,paired,49155,32,269,0,0.840625,0.0,"[0, 0, 0, 0, 0, 29, 0, 0, 0, 22]"
alpha-1,1.0,best,paired,49156,32,268,1,0.8375,0.03125,"[0, 0, 0, 0, 26, 0, 0, 0, 26, 0]"
alpha-1,1.0,best,paired,49157,32,262,0,0.81875,0.0,"[0, 0, 0, 28, 0, 0, 0, 30, 0, 0]"
alpha-1,1.0,best,paired,49158,32,251,0,0.784375,0.0,"[0, 0, 26, 0, 0, 0, 30, 0, 1, 12]"
alpha-1,1.0,best,paired,49159,32,231,0,0.721875,0.0,"[0, 27, 0, 0, 0, 29, 0, 0, 13, 20]"
alpha-1,1.0,best,paired,49160,32,268,1,0.8375,0.03125,"[0, 0, 0, 0, 26, 0, 0, 0, 26, 0]"
alpha-1,1.0,best,paired,65535,32,310,22,0.96875,0.6875,"[0, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,paired,65536,32,290,6,0.90625,0.1875,"[0, 0, 0, 0, 0, 0, 0, 4, 26, 0]"
alpha-1,1.0,best,paired,65537,32,266,2,0.83125,0.0625,"[0, 0, 0, 0, 0, 0, 0, 28, 26, 0]"
alpha-1,1.0,best,paired,98303,32,310,22,0.96875,0.6875,"[0, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,paired,98304,32,290,6,0.90625,0.1875,"[0, 0, 0, 0, 0, 0, 0, 4, 26, 0]"
alpha-1,1.0,best,paired,98305,32,266,2,0.83125,0.0625,"[0, 0, 0, 0, 0, 0, 0, 28, 26, 0]"
alpha-1,1.0,best,paired,131071,32,320,32,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,best,paired,131072,32,290,6,0.90625,0.1875,"[0, 0, 0, 0, 0, 0, 0, 4, 26, 0]"
alpha-1,1.0,final,standard,1,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,final,standard,2,256,2552,252,0.996875,0.984375,"[0, 0, 1, 0, 1, 2, 2, 1, 1, 0]"
alpha-1,1.0,final,standard,3,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,final,standard,4,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,final,standard,5,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,final,standard,6,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,final,standard,7,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,final,standard,8,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,final,standard,9,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,final,standard,10,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
alpha-1,1.0,final,standard,11,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,final,standard,12,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
alpha-1,1.0,final,standard,13,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,final,standard,14,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alpha-1,1.0,final,standard,16,256,2508,204,0.9796875,0.796875,"[0, 1, 0, 0, 0, 0, 0, 0, 49, 2]"
alpha-1,1.0,final,standard,24,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
alpha-1,1.0,final,standard,32,256,2503,199,0.977734375,0.77734375,"[0, 1, 0, 0, 0, 0, 0, 0, 50, 6]"
alpha-1,1.0,final,standard,48,256,2501,197,0.976953125,0.76953125,"[0, 0, 0, 0, 0, 0, 0, 0, 58, 1]"
alpha-1,1.0,final,standard,64,256,2381,77,0.930078125,0.30078125,"[0, 0, 0, 0, 0, 0, 0, 0, 179, 0]"
alpha-1,1.0,final,standard,96,256,2259,39,0.882421875,0.15234375,"[1, 2, 1, 1, 0, 0, 2, 0, 124, 170]"
alpha-1,1.0,final,standard,128,256,2402,98,0.93828125,0.3828125,"[0, 0, 0, 0, 0, 0, 0, 0, 158, 0]"
alpha-1,1.0,final,standard,192,256,2387,83,0.932421875,0.32421875,"[0, 0, 0, 0, 0, 0, 0, 0, 173, 0]"
alpha-1,1.0,final,standard,256,256,2338,39,0.91328125,0.15234375,"[1, 1, 0, 1, 0, 0, 1, 2, 216, 0]"
alpha-1,1.0,final,standard,384,256,2431,127,0.949609375,0.49609375,"[0, 0, 0, 0, 0, 0, 0, 0, 129, 0]"
alpha-1,1.0,final,standard,512,256,2345,46,0.916015625,0.1796875,"[0, 1, 1, 1, 0, 2, 0, 0, 210, 0]"
