mode,checkpoint,T,string_correct,token_correct,token_acc,string_acc,n
self-off,best,1,245,2547,0.994921875,0.95703125,256
self-off,best,2,253,2557,0.998828125,0.98828125,256
self-off,best,3,254,2558,0.99921875,0.9921875,256
self-off,best,4,255,2559,0.999609375,0.99609375,256
self-off,best,5,252,2556,0.9984375,0.984375,256
self-off,best,6,254,2558,0.99921875,0.9921875,256
self-off,best,7,256,2560,1.0,1.0,256
self-off,best,8,256,2560,1.0,1.0,256
self-off,best,9,255,2559,0.999609375,0.99609375,256
self-off,best,10,256,2560,1.0,1.0,256
self-off,best,11,256,2560,1.0,1.0,256
self-off,best,12,256,2560,1.0,1.0,256
self-off,best,13,256,2560,1.0,1.0,256
self-off,best,14,253,2557,0.998828125,0.98828125,256
self-off,best,16,175,2463,0.962109375,0.68359375,256
self-off,best,24,256,2560,1.0,1.0,256
self-off,best,32,170,2462,0.96171875,0.6640625,256
self-off,best,48,206,2509,0.980078125,0.8046875,256
self-off,best,64,164,2457,0.959765625,0.640625,256
self-off,best,96,91,2346,0.91640625,0.35546875,256
self-off,best,128,172,2455,0.958984375,0.671875,256
self-off,best,192,166,2452,0.9578125,0.6484375,256
self-off,best,256,190,2484,0.9703125,0.7421875,256
self-off,best,384,167,2459,0.960546875,0.65234375,256
self-off,best,512,182,2471,0.965234375,0.7109375,256
self-off,best,768,185,2474,0.96640625,0.72265625,256
self-off,best,1024,177,2465,0.962890625,0.69140625,256
self-off,best,1536,171,2454,0.95859375,0.66796875,256
self-off,best,2048,176,2466,0.96328125,0.6875,256
self-off,best,3072,167,2455,0.958984375,0.65234375,256
self-off,best,4096,169,2463,0.962109375,0.66015625,256
self-off,best,6144,181,2465,0.962890625,0.70703125,256
self-off,best,8192,187,2478,0.96796875,0.73046875,256
self-off,best,12288,171,2464,0.9625,0.66796875,256
self-off,best,16384,180,2473,0.966015625,0.703125,256
self-off,best,24576,161,2451,0.957421875,0.62890625,256
self-off,best,32768,172,2460,0.9609375,0.671875,256
self-off,best,49152,181,2472,0.965625,0.70703125,256
self-off,best,65536,172,2460,0.9609375,0.671875,256
self-off,best,98304,172,2465,0.962890625,0.671875,256
self-off,best,131072,175,2461,0.961328125,0.68359375,256
self-on,best,1,255,2558,0.99921875,0.99609375,256
self-on,best,2,255,2559,0.999609375,0.99609375,256
self-on,best,3,255,2559,0.999609375,0.99609375,256
self-on,best,4,255,2559,0.999609375,0.99609375,256
self-on,best,5,255,2559,0.999609375,0.99609375,256
self-on,best,6,252,2553,0.997265625,0.984375,256
self-on,best,7,255,2559,0.999609375,0.99609375,256
self-on,best,8,256,2560,1.0,1.0,256
self-on,best,9,255,2559,0.999609375,0.99609375,256
self-on,best,10,256,2560,1.0,1.0,256
self-on,best,11,255,2558,0.99921875,0.99609375,256
self-on,best,12,254,2558,0.99921875,0.9921875,256
self-on,best,13,256,2560,1.0,1.0,256
self-on,best,14,256,2560,1.0,1.0,256
self-on,best,16,256,2560,1.0,1.0,256
self-on,best,24,256,2560,1.0,1.0,256
self-on,best,32,256,2560,1.0,1.0,256
self-on,best,48,256,2560,1.0,1.0,256
self-on,best,64,255,2559,0.999609375,0.99609375,256
self-on,best,96,256,2560,1.0,1.0,256
self-on,best,128,256,2560,1.0,1.0,256
self-on,best,192,254,2558,0.99921875,0.9921875,256
self-on,best,256,253,2557,0.998828125,0.98828125,256
self-on,best,384,254,2558,0.99921875,0.9921875,256
self-on,best,512,253,2557,0.998828125,0.98828125,256
self-on,best,768,254,2558,0.99921875,0.9921875,256
self-on,best,1024,256,2560,1.0,1.0,256
self-on,best,1536,255,2559,0.999609375,0.99609375,256
self-on,best,2048,252,2556,0.9984375,0.984375,256
self-on,best,3072,254,2558,0.99921875,0.9921875,256
self-on,best,4096,254,2558,0.99921875,0.9921875,256
self-on,best,6144,256,2560,1.0,1.0,256
self-on,best,8192,254,2558,0.99921875,0.9921875,256
self-on,best,12288,255,2559,0.999609375,0.99609375,256
self-on,best,16384,253,2557,0.998828125,0.98828125,256
self-on,best,24576,254,2558,0.99921875,0.9921875,256
self-on,best,32768,256,2560,1.0,1.0,256
self-on,best,49152,89,2392,0.934375,0.34765625,256
self-on,best,65536,254,2558,0.99921875,0.9921875,256
self-on,best,98304,250,2554,0.99765625,0.9765625,256
self-on,best,131072,247,2551,0.996484375,0.96484375,256
self-off,final,1,249,2553,0.997265625,0.97265625,256
self-off,final,2,252,2556,0.9984375,0.984375,256
self-off,final,3,253,2557,0.998828125,0.98828125,256
self-off,final,4,34,2313,0.903515625,0.1328125,256
self-off,final,5,203,2506,0.97890625,0.79296875,256
self-off,final,6,26,2293,0.895703125,0.1015625,256
self-off,final,7,35,2328,0.909375,0.13671875,256
self-off,final,8,218,2519,0.983984375,0.8515625,256
self-off,final,9,41,2296,0.896875,0.16015625,256
self-off,final,10,124,2403,0.938671875,0.484375,256
self-off,final,11,224,2527,0.987109375,0.875,256
self-off,final,12,86,2309,0.901953125,0.3359375,256
self-off,final,13,6,2065,0.806640625,0.0234375,256
self-off,final,14,23,2189,0.855078125,0.08984375,256
self-off,final,16,1,1762,0.68828125,0.00390625,256
self-off,final,24,114,2370,0.92578125,0.4453125,256
self-off,final,32,0,1746,0.68203125,0.0,256
self-off,final,48,3,1910,0.74609375,0.01171875,256
self-off,final,64,0,1726,0.67421875,0.0,256
self-off,final,96,0,1636,0.6390625,0.0,256
self-off,final,128,5,1776,0.69375,0.01953125,256
self-off,final,192,1,1748,0.6828125,0.00390625,256
self-off,final,256,2,1750,0.68359375,0.0078125,256
self-off,final,384,2,1773,0.692578125,0.0078125,256
self-off,final,512,2,1766,0.68984375,0.0078125,256
